수,address,목,월,일(6/4),type,phone,목(6/8),매일,토(6/3),금,name,월(6/5),일,화(6/6),수(6/7),화,토
"09:30 - 20:30
12:30 - 14:00 휴게시간
19:30 접수마감",부산 강서구 명지오션시티4로 59,"09:30 - 18:30
12:30 - 14:00 휴게시간
17:30 접수마감",,,치과,051-203-2875,,,,"09:30 - 18:30
12:30 - 14:00 휴게시간
17:30 접수마감",더착한치과의원,휴무,정기휴무 (매주 일요일),현충일 휴무,,,"09:00 - 14:00
13:00 접수마감"
10:00 - 20:00,부산 강서구 명지국제6로 246 예성빌딩 4층,10:00 - 19:00,10:00 - 19:00,,피부과,0507-1424-7990,,,,10:00 - 19:00,큐의원,,정기휴무 (매주 일요일),현충일 휴무,,,10:00 - 14:00
"09:00 - 20:00
12:30 - 14:00 휴게시간
19:30 접수마감",부산 강서구 명지오션시티11로 66,"09:00 - 12:30
12:00 접수마감","09:00 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감",,정형외과,051-205-0776,,,,"09:00 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감",제일마취통증의학과의원,,정기휴무 (매주 일요일),현충일 휴무,,,"09:00 - 14:00
13:30 접수마감"
"09:00 - 19:00
13:00 - 14:00 휴게시간","부산 강서구 명지국제8로 242 씨에스프라자 201,202호","09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",,신경외과,051-710-0960,,,,"09:00 - 19:00
13:00 - 14:00 휴게시간",명지바른신경외과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 14:00
"10:00 - 21:00
13:00 - 14:00 휴게시간","부산 강서구 명지국제1로 25 우진메디컬프라자 5층 501, 502, 503호","10:00 - 21:00
13:00 - 14:00 휴게시간
접기","10:00 - 21:00
13:00 - 14:00 휴게시간",,한방병원,0507-1460-8082,,,,"10:00 - 21:00
13:00 - 14:00 휴게시간",우아한방병원,,정기휴무 (매주 일요일),현충일10:00 - 16:00,,,10:00 - 16:00
"09:00 - 18:30
13:00 - 14:00 휴게시간",부산 강서구 명지국제8로 240,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",,내과,051-292-9393,,,,"09:00 - 18:30
13:00 - 14:00 휴게시간",최성원내과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 14:00
"09:30 - 20:00
13:00 - 14:30 휴게시간",부산 강서구 명지국제8로 230 5층,"09:30 - 20:00
13:00 - 14:30 휴게시간
접기","09:30 - 20:00
13:00 - 14:30 휴게시간",,한의원,051-207-1365,,,,"09:30 - 20:00
13:00 - 14:30 휴게시간",명지365다나슬한의원,,09:30 - 16:00,현충일09:30 - 16:00,,,09:30 - 16:00
"09:00 - 18:30
12:30 - 14:00 휴게시간",부산 강서구 신호산단2로 33 골든뷰 401호,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",,소아청소년과,051-941-3339,,,,"09:00 - 18:30
12:30 - 14:00 휴게시간",신신소아청소년과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 13:00
"09:30 - 20:00
13:00 - 14:30 휴게시간
19:20 접수마감",부산 강서구 명지오션시티11로 66 G타워 4층,"09:30 - 20:00
13:00 - 14:30 휴게시간
19:20 접수마감","09:30 - 20:00
13:00 - 14:30 휴게시간
19:20 접수마감",,한의원,051-271-2800,,,,"09:30 - 20:00
13:00 - 14:30 휴게시간
19:20 접수마감",명지한의원,,정기휴무 (매주 일요일),현충일 휴무,,,"09:30 - 13:30
12:50 접수마감"
09:30 - 19:00,부산 강서구 신호산단2로49번길 16,09:30 - 19:00,09:30 - 19:00,,한의원,051-973-3075,,,,09:30 - 19:00,보리한의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:30 - 15:00
