,병원이름,병원종류,전화번호,병원주소,월,화,수,목,금,토,일,영업시간,쉬는시간,접수마감,정기휴무
0,메디스치과의원 경성대,치과,0507-1315-7475,부산 남구 수영로 295 세웅빌딩 4층,,,"10:00 - 19:00
13:00 - 14:00 휴게시간","10:00 - 20:00
13:00 - 14:00 휴게시간","10:00 - 19:00
13:00 - 14:00 휴게시간",10:00 - 14:00,정기휴무 (매주 일요일),"

10:00 - 19:00
10:00 - 20:00
10:00 - 19:00
10:00 - 14:00
정기휴무 (매주 일요일)",,, 일요일
1,바른얼굴덕치과의원,치과,051-623-2080,부산 남구 수영로 261 제401동 208호~209호,"10:00 - 19:00
13:00 - 14:00 휴게시간",,10:00 - 14:00,"10:00 - 20:00
13:00 - 14:00 휴게시간","10:00 - 19:00
13:00 - 14:00 휴게시간",10:00 - 14:00,정기휴무 (매주 일요일),"10:00 - 19:00

10:00 - 14:00
10:00 - 20:00
10:00 - 19:00
10:00 - 14:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 일요일
2,부산고려병원,정형외과,0507-1373-3005,부산 남구 수영로 238 고려병원,"09:00 - 18:00
12:30 - 13:30 휴게시간",,"09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",12:30 - 13:30 ,, 일요일
3,블리비의원 부산경성대점,피부과,1833-9179,부산 남구 수영로 300 10층,"10:00 - 20:00
13:00 - 14:00 휴게시간",,"10:00 - 20:00
13:00 - 14:00 휴게시간","10:00 - 20:00
13:00 - 14:00 휴게시간","10:00 - 20:00
13:00 - 14:00 휴게시간",10:00 - 15:00,정기휴무 (매주 일요일),"10:00 - 20:00

10:00 - 20:00
10:00 - 20:00
10:00 - 20:00
10:00 - 15:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 일요일
4,미래이비인후과의원,이비인후과,051-623-7535,부산 남구 분포로 115 힐탑탑플레이스 A동 302호,"09:00 - 18:00
12:15 - 14:00 휴게시간",,09:00 - 12:10,"09:00 - 18:00
12:15 - 14:00 휴게시간","09:00 - 18:00
12:15 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 12:10
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",12:15 - 14:00 ,, 일요일
5,다솜의원,내과,051-637-7855,부산 남구 전포대로91번길 47 이마트 3층,"10:00 - 20:30
13:00 - 14:30 휴게시간",,"10:00 - 20:30
13:00 - 14:30 휴게시간","10:00 - 20:30
13:00 - 14:30 휴게시간","10:00 - 20:30
13:00 - 14:30 휴게시간","10:00 - 20:30
13:00 - 14:30 휴게시간","10:00 - 20:30
13:00 - 14:30 휴게시간","10:00 - 20:30

10:00 - 20:30
10:00 - 20:30
10:00 - 20:30
10:00 - 20:30
10:00 - 20:30",13:00 - 14:30 ,,
6,부산성소병원,"병원,의원",051-633-1123,부산 남구 수영로 175 SMG빌딩 부산성소병원,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,"09:00 - 18:00
접기",09:00 - 18:00,09:00 - 13:00,정보없음,"09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정보없음",,,
7,더퍼스트피부과의원,피부과,0507-1309-7099,부산 남구 수영로 299 루미너스타워 3층,"10:00 - 19:00
13:00 - 14:00 휴게시간",,"10:00 - 19:00
13:00 - 14:00 휴게시간","10:00 - 19:00
13:00 - 14:00 휴게시간","10:00 - 20:00
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),"10:00 - 19:00

10:00 - 19:00
10:00 - 19:00
10:00 - 20:00
09:00 - 14:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 일요일
8,아름다운피부과의원,피부과,051-863-0075,"부산 남구 분포로 115 A동 201-1호, 202호",10:00 - 18:30,,10:00 - 18:30,10:00 - 18:30,10:00 - 18:30,10:00 - 14:00,정기휴무 (매주 일요일),"10:00 - 18:30

10:00 - 18:30
10:00 - 18:30
10:00 - 18:30
10:00 - 14:00
정기휴무 (매주 일요일)",,, 일요일
9,신봉식이비인후과의원,이비인후과,051-623-7337,부산 남구 수영로 340 플러스빌딩 3층,"09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 15:00
13:00 - 14:00 휴게시간",정기휴무 (매주 일요일),"09:00 - 18:30

09:00 - 18:30
09:00 - 18:30
09:00 - 18:30
09:00 - 15:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,, 일요일
10,바른이비인후과의원,이비인후과,0507-1400-8558,부산 남구 수영로 323 태강프라자 6층,"09:00 - 18:40
12:40 - 14:00 휴게시간",,"09:00 - 18:40
12:40 - 14:00 휴게시간","09:00 - 18:40
12:40 - 14:00 휴게시간","09:00 - 18:40
12:40 - 14:00 휴게시간","09:00 - 15:00
12:40 - 14:00 휴게시간",정기휴무 (매주 일요일),"09:00 - 18:40

09:00 - 18:40
09:00 - 18:40
09:00 - 18:40
09:00 - 15:00
정기휴무 (매주 일요일)",12:40 - 14:00 ,, 일요일
11,W365메디컬의원,이비인후과,0507-1395-0365,부산 남구 분포로 145,09:00 - 20:00,,09:00 - 20:00,"09:00 - 20:00
접기",09:00 - 20:00,09:00 - 16:00,09:00 - 16:00,"09:00 - 20:00

09:00 - 20:00
09:00 - 20:00
09:00 - 20:00
09:00 - 16:00
09:00 - 16:00",,,
12,닥터안치과의원,치과,0507-1465-1067,부산 남구 용주로6번길 30 2층,"09:30 - 19:00
13:00 - 14:30 휴게시간
18:30 접수마감",,"09:30 - 19:00
13:00 - 14:30 휴게시간
18:30 접수마감","09:30 - 19:00
13:00 - 14:30 휴게시간
18:30 접수마감","09:30 - 19:00
13:00 - 14:30 휴게시간
18:30 접수마감","09:30 - 13:00
12:30 접수마감",정기휴무 (매주 일요일),"09:30 - 19:00

09:30 - 19:00
09:30 - 19:00
09:30 - 19:00
09:30 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:30 ,12:30, 일요일
13,남구보건소,보건소,051-607-6460,부산 남구 못골로 23,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,정보없음,정보없음,"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
정보없음
정보없음",,,
14,코끼리소아청소년과의원,소아청소년과,051-633-8200,부산 남구 진남로127번길 8,"09:00 - 18:00
12:30 - 14:00 휴게시간",,14:00 - 18:00,"09:00 - 18:00
12:30 - 14:00 휴게시간",,09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

14:00 - 18:00
09:00 - 18:00

09:00 - 13:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,, 일요일
15,부산성모병원,종합병원,051-933-7114,부산 남구 용호로232번길 25-14 부산성모병원,"08:30 - 17:30
12:30 - 13:30 휴게시간",,"08:30 - 17:30
12:30 - 13:30 휴게시간","08:30 - 17:30
12:30 - 13:30 휴게시간","08:30 - 17:30
12:30 - 13:30 휴게시간",08:30 - 12:30,정기휴무 (매주 일요일),"08:30 - 17:30

08:30 - 17:30
08:30 - 17:30
08:30 - 17:30
08:30 - 12:30
정기휴무 (매주 일요일)",12:30 - 13:30 ,, 일요일
16,부산아동병원,소아청소년과,051-612-7582,부산 남구 수영로 228,"09:30 - 20:00
13:00 - 14:00 휴게시간",,"09:30 - 20:00
13:00 - 14:00 휴게시간","09:30 - 20:00
13:00 - 14:00 휴게시간","09:30 - 20:00
13:00 - 14:00 휴게시간",09:30 - 13:00,09:30 - 13:00,"09:30 - 20:00

09:30 - 20:00
09:30 - 20:00
09:30 - 20:00
09:30 - 13:00
09:30 - 13:00",13:00 - 14:00 ,,
17,진내과의원,내과,051-627-0360,부산 남구 수영로 340 2층,"09:00 - 18:00
13:00 - 14:00 휴게시간
12:45, 17:45 접수마감",,"09:00 - 18:00
13:00 - 14:00 휴게시간
12:45, 17:45 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
12:45, 17:45 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
12:45, 17:45 접수마감","09:00 - 13:00
12:45 접수마감",정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,12:45, 일요일
18,클린앤뷰티의원,피부과,0507-1329-7746,부산 남구 수영로 304 대승타워 5층,10:00 - 20:00,,10:00 - 20:00,10:00 - 18:30,10:00 - 20:00,10:00 - 15:30,정기휴무 (매주 일요일),"10:00 - 20:00

10:00 - 20:00
10:00 - 18:30
10:00 - 20:00
10:00 - 15:30
정기휴무 (매주 일요일)",,, 일요일
19,세종의원,내과,051-642-9977,부산 남구 수영로 30-1,09:00 - 20:00,,09:00 - 20:00,"09:00 - 20:00
접기",09:00 - 20:00,09:00 - 16:00,09:00 - 13:00,"09:00 - 20:00

09:00 - 20:00
09:00 - 20:00
09:00 - 20:00
09:00 - 16:00
09:00 - 13:00",,,
