병원이름,병원주소,일(6/4),토(6/3),수,목(6/8),화(6/6),일,매일,월,화,수(6/7),전화번호,금(6/2),토,병원종류,월(6/5),목,금
메디스치과의원 경성대,부산 남구 수영로 295 세웅빌딩 4층,,,"10:00 - 19:00
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,,,,0507-1315-7475,,10:00 - 14:00,치과,휴무,"10:00 - 20:00
13:00 - 14:00 휴게시간","10:00 - 19:00
13:00 - 14:00 휴게시간"
바른얼굴덕치과의원,부산 남구 수영로 261 제401동 208호~209호,,,10:00 - 14:00,,현충일 휴무,정기휴무 (매주 일요일),,"10:00 - 19:00
13:00 - 14:00 휴게시간",,,051-623-2080,,10:00 - 14:00,치과,,"10:00 - 20:00
13:00 - 14:00 휴게시간","10:00 - 19:00
13:00 - 14:00 휴게시간"
부산고려병원,부산 남구 수영로 238 고려병원,,,"09:00 - 18:00
12:30 - 13:30 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
12:30 - 13:30 휴게시간",,,0507-1373-3005,,09:00 - 13:00,정형외과,,"09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간"
블리비의원 부산경성대점,부산 남구 수영로 300 10층,,,"10:00 - 20:00
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"10:00 - 20:00
13:00 - 14:00 휴게시간",,,1833-9179,,10:00 - 15:00,피부과,,"10:00 - 20:00
13:00 - 14:00 휴게시간","10:00 - 20:00
13:00 - 14:00 휴게시간"
미래이비인후과의원,부산 남구 분포로 115 힐탑탑플레이스 A동 302호,,,09:00 - 12:10,,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
12:15 - 14:00 휴게시간",,,051-623-7535,,09:00 - 13:00,이비인후과,,"09:00 - 18:00
12:15 - 14:00 휴게시간","09:00 - 18:00
12:15 - 14:00 휴게시간"
다솜의원,부산 남구 전포대로91번길 47 이마트 3층,,,"10:00 - 20:30
13:00 - 14:30 휴게시간",,현충일10:00 - 20:30,"10:00 - 20:30
13:00 - 14:30 휴게시간",,"10:00 - 20:30
13:00 - 14:30 휴게시간",,,051-637-7855,,"10:00 - 20:30
13:00 - 14:30 휴게시간",내과,,"10:00 - 20:30
13:00 - 14:30 휴게시간","10:00 - 20:30
13:00 - 14:30 휴게시간"
부산성소병원,부산 남구 수영로 175 SMG빌딩 부산성소병원,,,09:00 - 18:00,,,정보없음,,09:00 - 18:00,09:00 - 18:00,,051-633-1123,,09:00 - 13:00,"병원,의원",,"09:00 - 18:00
접기",09:00 - 18:00
더퍼스트피부과의원,부산 남구 수영로 299 루미너스타워 3층,,,"10:00 - 19:00
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"10:00 - 19:00
13:00 - 14:00 휴게시간",,,0507-1309-7099,,09:00 - 14:00,피부과,,"10:00 - 19:00
13:00 - 14:00 휴게시간","10:00 - 20:00
13:00 - 14:00 휴게시간"
아름다운피부과의원,"부산 남구 분포로 115 A동 201-1호, 202호",,,10:00 - 18:30,,현충일 휴무,정기휴무 (매주 일요일),,10:00 - 18:30,,,051-863-0075,,10:00 - 14:00,피부과,,10:00 - 18:30,10:00 - 18:30
신봉식이비인후과의원,부산 남구 수영로 340 플러스빌딩 3층,,,"09:00 - 18:30
12:30 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:30
12:30 - 14:00 휴게시간",,,051-623-7337,,"09:00 - 15:00
13:00 - 14:00 휴게시간",이비인후과,,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간"
바른이비인후과의원,부산 남구 수영로 323 태강프라자 6층,,,"09:00 - 18:40
12:40 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:40
12:40 - 14:00 휴게시간",,,0507-1400-8558,,"09:00 - 15:00
12:40 - 14:00 휴게시간",이비인후과,,"09:00 - 18:40
12:40 - 14:00 휴게시간","09:00 - 18:40
12:40 - 14:00 휴게시간"
W365메디컬의원,부산 남구 분포로 145,,,09:00 - 20:00,,현충일09:00 - 16:00,09:00 - 16:00,,09:00 - 20:00,,,0507-1395-0365,,09:00 - 16:00,이비인후과,,"09:00 - 20:00
접기",09:00 - 20:00
닥터안치과의원,부산 남구 용주로6번길 30 2층,,,"09:30 - 19:00
13:00 - 14:30 휴게시간
18:30 접수마감",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 19:00
13:00 - 14:30 휴게시간
18:30 접수마감",,,0507-1465-1067,,"09:30 - 13:00
12:30 접수마감",치과,,"09:30 - 19:00
13:00 - 14:30 휴게시간
18:30 접수마감","09:30 - 19:00
13:00 - 14:30 휴게시간
18:30 접수마감"
남구보건소,부산 남구 못골로 23,,,09:00 - 18:00,,현충일 휴무,정보없음,,09:00 - 18:00,,,051-607-6460,,정보없음,보건소,,09:00 - 18:00,09:00 - 18:00
코끼리소아청소년과의원,부산 남구 진남로127번길 8,,,14:00 - 18:00,,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
12:30 - 14:00 휴게시간",,,051-633-8200,휴무,09:00 - 13:00,소아청소년과,,"09:00 - 18:00
12:30 - 14:00 휴게시간",
부산성모병원,부산 남구 용호로232번길 25-14 부산성모병원,,,"08:30 - 17:30
12:30 - 13:30 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"08:30 - 17:30
12:30 - 13:30 휴게시간",,,051-933-7114,,08:30 - 12:30,종합병원,,"08:30 - 17:30
12:30 - 13:30 휴게시간","08:30 - 17:30
12:30 - 13:30 휴게시간"
