이름,병원종류,영업시간,전화번호
김재욱김선린이비인후과의원,이비인후과,"목
09:00 - 18:30
12:50 - 14:00 휴게시간
금
09:00 - 18:30
12:50 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
12:50 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:30
12:50 - 14:00 휴게시간",051-895-0220
가야우리아동의원,소아청소년과,"목
09:00 - 19:00
13:00 - 14:00 휴게시간
금
09:00 - 19:00
13:00 - 14:00 휴게시간
토
09:00 - 13:00
일
09:00 - 13:00
월
09:00 - 19:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 19:00
13:00 - 14:00 휴게시간",051-715-3020
신세계소아청소년과의원,소아청소년과,"목
09:00 - 13:00
금
09:00 - 18:00
13:00 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:00
13:00 - 14:00 휴게시간",051-898-0220
미래통합의원,내과,"목
09:00 - 18:00
금
09:00 - 18:00
토
정기휴무 (매주 토요일)
일
09:00 - 18:00
월
09:00 - 18:00
화(6/6)
현충일09:00 - 14:00
수
09:00 - 18:00
접기",051-895-0152
다온가정의원,가정의학과,"목
09:00 - 19:00
13:00 - 14:00 휴게시간
금
09:00 - 19:00
13:00 - 14:00 휴게시간
토
09:00 - 18:00
13:00 - 14:00 휴게시간
일
정기휴무 (매주 일요일)
월
09:00 - 19:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 19:00
13:00 - 14:00 휴게시간",0507-1339-1860
권혁진이비인후과의원,이비인후과,"목
09:00 - 18:00
13:00 - 14:00 휴게시간
금
09:00 - 18:00
13:00 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:00
13:00 - 14:00 휴게시간",051-893-3370
스마트정형외과의원,정형외과,"목
09:00 - 18:30
12:30 - 14:00 휴게시간
금
09:00 - 18:30
12:30 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 16:00
12:30 - 14:00 휴게시간",051-892-7678
지성한의원,한의원,"목
09:00 - 19:00
13:00 - 14:00 휴게시간
18:15 접수마감
금
09:00 - 19:00
13:00 - 14:00 휴게시간
18:15 접수마감
토
09:00 - 14:00
13:15 접수마감
일
정기휴무 (매주 일요일)
월
09:00 - 19:00
13:00 - 14:00 휴게시간
18:15 접수마감
화(6/6)
현충일 휴무
수
09:00 - 19:00
13:00 - 14:00 휴게시간
18:15 접수마감",051-894-7582
김태진내과의원,내과,"목
08:30 - 18:00
13:00 - 14:00 휴게시간
금
08:30 - 18:00
13:00 - 14:00 휴게시간
토
08:30 - 12:30
일
정기휴무 (매주 일요일)
월
08:30 - 19:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
08:30 - 12:30",051-896-3535
더꼼꼼한치과의원,치과,"목
정기휴무 (매주 목요일)
금
09:30 - 19:00
18:20 접수마감
토
09:30 - 13:30
12:50 접수마감
일
정기휴무 (매주 일요일)
월
09:30 - 21:00
20:20 접수마감
화
09:30 - 19:00
18:20 접수마감
수
14:30 - 21:00
20:20 접수마감
접기",0507-1439-2876
