이름,병원주소,병원종류,영업시간,전화번호
더착한치과의원,부산 강서구 명지오션시티4로 59,치과,"금
09:30 - 18:30
12:30 - 14:00 휴게시간
17:30 접수마감
토
09:00 - 14:00
13:00 접수마감
일
정기휴무 (매주 일요일)
월(6/5)
휴무
화(6/6)
현충일 휴무
수
09:30 - 20:30
12:30 - 14:00 휴게시간
19:30 접수마감
목
09:30 - 18:30
12:30 - 14:00 휴게시간
17:30 접수마감",051-203-2875
금빛한의원 부산점,부산 강서구 명지국제8로 257 3층,한의원,"금
10:00 - 20:00
13:00 - 14:00 휴게시간
토
10:00 - 14:00
일
10:00 - 14:00
월
10:00 - 20:00
13:00 - 14:00 휴게시간
화(6/6)
현충일10:00 - 14:00
수
10:00 - 20:00
13:00 - 14:00 휴게시간
목
10:00 - 20:00
13:00 - 14:00 휴게시간
접기",0507-1310-7510
푸르미소아청소년과의원,부산 강서구 명지국제8로 257 티에스스퀘어 502호,소아청소년과,"금
08:30 - 19:00
12:30 - 14:00 휴게시간
토
08:30 - 15:00
일
09:00 - 14:00
월
08:30 - 19:00
12:30 - 14:00 휴게시간
화(6/6)
현충일09:00 - 14:00
수
08:30 - 19:00
12:30 - 14:00 휴게시간
목
08:30 - 19:00
12:30 - 14:00 휴게시간",051-204-0012
365텐텐이비인후과의원,부산 강서구 명지국제8로 233 더스퀘어 3층 301호,이비인후과,"금
10:00 - 22:00
13:00 - 14:00 휴게시간
18:00 - 19:00 휴게시간
토
10:00 - 22:00
13:00 - 14:00 휴게시간
18:00 - 19:00 휴게시간
일
10:00 - 22:00
13:00 - 14:00 휴게시간
18:00 - 19:00 휴게시간
월
10:00 - 22:00
13:00 - 14:00 휴게시간
18:00 - 19:00 휴게시간
화
10:00 - 22:00
13:00 - 14:00 휴게시간
18:00 - 19:00 휴게시간
수
10:00 - 22:00
13:00 - 14:00 휴게시간
18:00 - 19:00 휴게시간
목
10:00 - 22:00
13:00 - 14:00 휴게시간
18:00 - 19:00 휴게시간
접기",051-292-0365
오션키즈연합소아청소년과의원,"부산 강서구 명지오션시티11로 74 303호, 304호",소아청소년과,"금
09:00 - 20:00
13:00 - 14:00 휴게시간
토
08:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 20:00
13:00 - 14:00 휴게시간
화(6/6)
현충일08:00 - 13:00
수
09:00 - 20:00
13:00 - 14:00 휴게시간
목
09:00 - 20:00
13:00 - 14:00 휴게시간
접기",051-292-8575
365하하병원,부산 강서구 명지오션시티4로 88,정형외과,"금
09:00 - 19:00
12:30 - 13:30 휴게시간
토
09:00 - 15:00
12:30 - 13:30 휴게시간
일
09:00 - 16:00
12:30 - 13:30 휴게시간
월
09:00 - 19:00
12:30 - 13:30 휴게시간
화
09:00 - 19:00
12:30 - 13:30 휴게시간
수
09:00 - 19:00
12:30 - 13:30 휴게시간
목
09:00 - 19:00
12:30 - 13:30 휴게시간",051-710-8899
고운세상피부과의원 서부산점,부산 강서구 명지국제5로 42 3층,피부과,"금
09:30 - 20:00
12:30 - 14:00 휴게시간
토
09:30 - 14:00
일
정기휴무 (매주 일요일)
월
09:30 - 18:30
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 20:00
12:30 - 14:00 휴게시간
목
09:30 - 18:30
12:30 - 14:00 휴게시간",051-715-2216
명지내과의원,부산 강서구 명지국제2로 29,내과,"금
08:30 - 19:00
13:00 - 14:00 휴게시간
토
08:30 - 13:00
일
08:30 - 13:00
월
08:30 - 19:00
13:00 - 14:00 휴게시간
화
08:30 - 19:00
13:00 - 14:00 휴게시간
수
08:30 - 19:00
13:00 - 14:00 휴게시간
목
08:30 - 19:00
13:00 - 14:00 휴게시간",051-271-7533
정이비인후과의원,부산 강서구 명지오션시티11로 66,이비인후과,"금
09:00 - 19:00
13:00 - 14:00 휴게시간
토
09:00 - 14:00
일
정기휴무 (매주 일요일)
월(6/5)
휴무
화(6/6)
현충일 휴무
수
09:00 - 19:00
13:00 - 14:00 휴게시간
목
09:00 - 19:00
13:00 - 14:00 휴게시간",0507-1422-7570
갑을녹산병원,부산 강서구 녹산산단321로 24-8,"병원,의원","금
08:30 - 17:30
12:30 - 13:30 휴게시간
토
08:30 - 12:30
일
정기휴무 (매주 일요일)
월
08:30 - 17:30
12:30 - 13:30 휴게시간
화
08:30 - 17:30
12:30 - 13:30 휴게시간
수
08:30 - 17:30
12:30 - 13:30 휴게시간
목
08:30 - 17:30
12:30 - 13:30 휴게시간",051-974-8300
위앤대우리큰내과의원,부산 강서구 명지오션시티11로 66,내과,"금
09:00 - 19:00
토
09:00 - 14:00
일
정기휴무 (매주 일요일)
월
09:00 - 19:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 14:00
목
09:00 - 19:00",051-253-7553
