이름,병원종류,영업시간,전화번호
메디스치과의원 경성대,치과,"금
10:00 - 19:00
13:00 - 14:00 휴게시간
토
10:00 - 14:00
일
정기휴무 (매주 일요일)
월(6/5)
휴무
화(6/6)
현충일 휴무
수
10:00 - 19:00
13:00 - 14:00 휴게시간
목
10:00 - 20:00
13:00 - 14:00 휴게시간",0507-1315-7475
바른얼굴덕치과의원,치과,"금
10:00 - 19:00
13:00 - 14:00 휴게시간
토
10:00 - 14:00
일
정기휴무 (매주 일요일)
월
10:00 - 19:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
10:00 - 14:00
목
10:00 - 20:00
13:00 - 14:00 휴게시간",051-623-2080
부산고려병원,정형외과,"금
09:00 - 18:00
12:30 - 13:30 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:30 - 13:30 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:00
12:30 - 13:30 휴게시간
목
09:00 - 18:00
12:30 - 13:30 휴게시간",0507-1373-3005
블리비의원 부산경성대점,피부과,"금
10:00 - 20:00
13:00 - 14:00 휴게시간
토
10:00 - 15:00
일
정기휴무 (매주 일요일)
월
10:00 - 20:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
10:00 - 20:00
13:00 - 14:00 휴게시간
목
10:00 - 20:00
13:00 - 14:00 휴게시간",1833-9179
미래이비인후과의원,이비인후과,"금
09:00 - 18:00
12:15 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:15 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 12:10
목
09:00 - 18:00
12:15 - 14:00 휴게시간",051-623-7535
다솜의원,내과,"금
10:00 - 20:30
13:00 - 14:30 휴게시간
토
10:00 - 20:30
13:00 - 14:30 휴게시간
일
10:00 - 20:30
13:00 - 14:30 휴게시간
월
10:00 - 20:30
13:00 - 14:30 휴게시간
화(6/6)
현충일10:00 - 20:30
수
10:00 - 20:30
13:00 - 14:30 휴게시간
목
10:00 - 20:30
13:00 - 14:30 휴게시간",051-637-7855
부산성소병원,"병원,의원","금
09:00 - 18:00
토
09:00 - 13:00
일
정보없음
월
09:00 - 18:00
화
09:00 - 18:00
수
09:00 - 18:00
목
09:00 - 18:00
접기",051-633-1123
더퍼스트피부과의원,피부과,"금
10:00 - 20:00
13:00 - 14:00 휴게시간
토
09:00 - 14:00
일
정기휴무 (매주 일요일)
월
10:00 - 19:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
10:00 - 19:00
13:00 - 14:00 휴게시간
목
10:00 - 19:00
13:00 - 14:00 휴게시간",0507-1309-7099
아름다운피부과의원,피부과,"금
10:00 - 18:30
토
10:00 - 14:00
일
정기휴무 (매주 일요일)
월
10:00 - 18:30
화(6/6)
현충일 휴무
수
10:00 - 18:30
목
10:00 - 18:30",051-863-0075
신봉식이비인후과의원,이비인후과,"금
09:00 - 18:30
12:30 - 14:00 휴게시간
토
09:00 - 15:00
13:00 - 14:00 휴게시간
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:30
12:30 - 14:00 휴게시간
목
09:00 - 18:30
12:30 - 14:00 휴게시간",051-623-7337
바른이비인후과의원,이비인후과,"금
09:00 - 18:40
12:40 - 14:00 휴게시간
토
09:00 - 15:00
12:40 - 14:00 휴게시간
일
정기휴무 (매주 일요일)
월
09:00 - 18:40
12:40 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:40
12:40 - 14:00 휴게시간
목
09:00 - 18:40
12:40 - 14:00 휴게시간",0507-1400-8558
W365메디컬의원,이비인후과,"금
09:00 - 20:00
토
09:00 - 16:00
일
09:00 - 16:00
월
09:00 - 20:00
화(6/6)
현충일09:00 - 16:00
수
09:00 - 20:00
목
09:00 - 20:00
접기",0507-1395-0365
닥터안치과의원,치과,"금
09:30 - 19:00
13:00 - 14:30 휴게시간
18:30 접수마감
토
09:30 - 13:00
12:30 접수마감
일
정기휴무 (매주 일요일)
월
09:30 - 19:00
13:00 - 14:30 휴게시간
18:30 접수마감
화(6/6)
현충일 휴무
수
09:30 - 19:00
13:00 - 14:30 휴게시간
18:30 접수마감
목
09:30 - 19:00
13:00 - 14:30 휴게시간
18:30 접수마감",0507-1465-1067
남구보건소,보건소,"금
09:00 - 18:00
토
정보없음
일
정보없음
월
09:00 - 18:00
화(6/6)
현충일 휴무
수
09:00 - 18:00
목
09:00 - 18:00",051-607-6460
코끼리소아청소년과의원,소아청소년과,"금(6/2)
휴무
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
14:00 - 18:00
목
09:00 - 18:00
12:30 - 14:00 휴게시간",051-633-8200
부산성모병원,종합병원,"금
08:30 - 17:30
12:30 - 13:30 휴게시간
토
08:30 - 12:30
일
정기휴무 (매주 일요일)
월
08:30 - 17:30
12:30 - 13:30 휴게시간
화(6/6)
현충일 휴무
수
08:30 - 17:30
12:30 - 13:30 휴게시간
목
08:30 - 17:30
12:30 - 13:30 휴게시간",051-933-7114
부산아동병원,소아청소년과,"금
09:30 - 20:00
13:00 - 14:00 휴게시간
토
09:30 - 13:00
일
09:30 - 13:00
월
09:30 - 20:00
13:00 - 14:00 휴게시간
화(6/6)
현충일09:30 - 13:00
수
09:30 - 20:00
13:00 - 14:00 휴게시간
목
09:30 - 20:00
13:00 - 14:00 휴게시간",051-612-7582
진내과의원,내과,"금
09:00 - 18:00
13:00 - 14:00 휴게시간
12:45, 17:45 접수마감
토
09:00 - 13:00
12:45 접수마감
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
13:00 - 14:00 휴게시간
12:45, 17:45 접수마감
화(6/6)
현충일 휴무
수
09:00 - 18:00
13:00 - 14:00 휴게시간
12:45, 17:45 접수마감
목
09:00 - 18:00
13:00 - 14:00 휴게시간
12:45, 17:45 접수마감",051-627-0360
클린앤뷰티의원,피부과,"금
10:00 - 20:00
토
10:00 - 15:30
일
정기휴무 (매주 일요일)
월
10:00 - 20:00
화(6/6)
현충일 휴무
수
10:00 - 20:00
목
10:00 - 18:30",0507-1329-7746
세종의원,내과,"금
09:00 - 20:00
토
09:00 - 16:00
일
09:00 - 13:00
월
09:00 - 20:00
화(6/6)
현충일09:00 - 16:00
수
09:00 - 20:00
목
09:00 - 20:00
접기",051-642-9977
김계영내과소아청소년과의원,소아청소년과,"금
09:00 - 18:00
13:00 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:00
13:00 - 14:00 휴게시간
목
09:00 - 18:00
13:00 - 14:00 휴게시간",051-627-7000
아산김의원,가정의학과,"금(6/2)
휴무
토(6/3)
휴무
일(6/4)
휴무
월(6/5)
휴무
화(6/6)
휴무
수
09:00 - 12:30
목
09:00 - 18:30
12:30 - 13:30 휴게시간",051-626-8835
소생한의원,한의원,"금
09:00 - 19:00
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 19:00
화(6/6)
현충일 휴무
수
09:00 - 19:00
목
09:00 - 19:00",0507-1480-1041
편한숲 정신건강의학과 의원,정신건강의학과,"금
09:30 - 18:30
13:00 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:30 - 18:30
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
14:00 - 20:00
목
09:30 - 18:30
13:00 - 14:00 휴게시간",0507-1321-0241
코앤핑이비인후과의원,이비인후과,"금
08:30 - 20:00
13:00 - 14:00 휴게시간
토
08:30 - 14:00
일
09:00 - 13:00
월
08:30 - 18:30
13:00 - 14:00 휴게시간
화(6/6)
현충일09:00 - 13:00
수
08:30 - 18:30
13:00 - 14:00 휴게시간
목
08:30 - 18:30
13:00 - 14:00 휴게시간",0507-1394-1003
명이비인후과의원,이비인후과,"금
09:00 - 17:30
12:30 - 14:00 휴게시간
12:00, 17:00 접수마감
토
09:00 - 12:30
12:00 접수마감
일
정기휴무 (매주 일요일)
월
09:00 - 17:30
12:30 - 14:00 휴게시간
12:00, 17:00 접수마감
화(6/6)
현충일 휴무
수
09:00 - 17:30
12:30 - 14:00 휴게시간
12:00, 17:00 접수마감
목
14:00 - 17:30
17:00 접수마감",051-612-7119
