이름,병원종류,영업시간,전화번호
유앤아이치과의원,치과,"금
09:00 - 18:00
12:30 - 14:00 휴게시간
토
정기휴무 (매주 토요일)
일
정기휴무 (매주 일요일)
월(6/5)
휴무
화(6/6)
현충일 휴무
수
09:00 - 18:00
12:30 - 14:00 휴게시간
목
09:00 - 18:00
12:30 - 14:00 휴게시간",051-635-2875
보령이가정의원 부산,"병원,의원","금
08:30 - 18:00
12:00 - 13:00 휴게시간
토
08:30 - 14:00
12:00 - 13:00 휴게시간
일
정기휴무 (매주 일요일)
월
08:30 - 18:00
12:00 - 13:00 휴게시간
화(6/6)
현충일 휴무
수
정기휴무 (매주 수요일)
목
08:30 - 18:00
12:00 - 13:00 휴게시간",051-791-1777
좋은문화병원,종합병원,"금
09:00 - 17:00
12:30 - 13:30 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:30 - 13:30 휴게시간
화
09:00 - 17:00
12:30 - 13:30 휴게시간
수
09:00 - 17:00
12:30 - 13:30 휴게시간
목
09:00 - 17:00
12:30 - 13:30 휴게시간
접기",051-644-2002
일신기독병원,종합병원,"금
08:30 - 17:00
토
08:30 - 12:00
일
정기휴무 (매주 일요일)
월
08:30 - 17:00
화(6/6)
현충일08:30 - 12:00
수
08:30 - 17:00
목
08:30 - 17:00
접기",051-630-0300
봉생기념병원,종합병원,,051-664-4000
하이맨비뇨기과의원 부산,비뇨의학과,"금
10:00 - 18:30
12:30 - 13:30 휴게시간
토
10:00 - 15:30
12:30 - 13:30 휴게시간
일
정기휴무 (매주 일요일)
월
10:00 - 18:30
12:30 - 13:30 휴게시간
화(6/6)
현충일 휴무
수
10:00 - 18:30
12:30 - 13:30 휴게시간
목
10:00 - 18:30
12:30 - 13:30 휴게시간",0507-1448-9200
삼성메디이비인후과의원,이비인후과,"금
08:30 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감
토
09:30 - 14:00
13:30 접수마감
일
정기휴무 (매주 일요일)
월
08:30 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감
화(6/6)
현충일 휴무
수
08:30 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감
목
08:30 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감",0507-1427-0002
서주내과영상의학과의원,내과,"금
09:00 - 18:00
12:30 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:00
12:30 - 14:00 휴게시간
목
09:00 - 18:00
12:30 - 14:00 휴게시간",051-637-1500
범천박의원,내과,"금
09:00 - 19:00
13:00 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 19:00
13:00 - 14:00 휴게시간
화(6/6)
현충일09:00 - 13:00
수
09:00 - 19:00
13:00 - 14:00 휴게시간
목
09:00 - 19:00
13:00 - 14:00 휴게시간
접기",051-646-4307
척시원병원,신경외과,,051-463-9119
트루맨남성의원 부산점,비뇨의학과,"금
09:30 - 18:30
토
09:30 - 15:30
일
정기휴무 (매주 일요일)
월
09:30 - 18:30
화(6/6)
현충일 휴무
수
09:30 - 18:30
목
09:30 - 18:30",051-757-8575
한빛내과의원,내과,"금
09:00 - 18:30
13:00 - 14:00 휴게시간
18:00 접수마감
토
09:00 - 13:00
12:30 접수마감
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
13:00 - 14:00 휴게시간
18:00 접수마감
화(6/6)
현충일09:00 - 13:00
수
09:00 - 18:30
13:00 - 14:00 휴게시간
18:00 접수마감
목
09:00 - 18:30
13:00 - 14:00 휴게시간
18:00 접수마감
접기",051-966-7800
힘내라병원,정형외과,"금
09:00 - 17:30
12:30 - 13:30 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:30 - 13:30 휴게시간
화
09:00 - 17:30
12:30 - 13:30 휴게시간
수
09:00 - 17:30
12:30 - 13:30 휴게시간
목
09:00 - 17:30
12:30 - 13:30 휴게시간
접기",0507-1471-9501
초량박이비인후과의원,이비인후과,"금
09:00 - 18:30
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
화(6/6)
현충일 휴무
수
09:00 - 18:30
목
09:00 - 18:30",051-466-0075
이영안과의원,안과,"금
09:30 - 18:30
13:00 - 14:30 휴게시간
17:30 접수마감
토
09:00 - 14:00
13:00 접수마감
일
정기휴무 (매주 일요일)
월(6/5)
14:30 - 18:30
화(6/6)
현충일 휴무
수(6/7)
09:30 - 13:00
목
09:30 - 18:30
13:00 - 14:30 휴게시간
17:30 접수마감",0507-1439-7575
고려내과의원,내과,"금
09:00 - 17:50
12:30 - 14:00 휴게시간
토
09:00 - 12:50
일
정기휴무 (매주 일요일)
월
09:00 - 17:50
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 17:50
12:30 - 14:00 휴게시간
목
09:00 - 17:50
12:30 - 14:00 휴게시간",051-646-0782
박소아청소년과의원,소아청소년과,"금
09:00 - 18:30
13:00 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:30
13:00 - 14:00 휴게시간
목
09:00 - 18:30
13:00 - 14:00 휴게시간",0507-1365-0362
동구보건소,보건소,"금
09:00 - 18:00
토
정보없음
일
정보없음
월
09:00 - 18:00
화
09:00 - 18:00
수
09:00 - 18:00
목
09:00 - 18:00
접기",051-440-6500
임종인정형외과의원,정형외과,"금
09:30 - 18:30
토
09:00 - 15:00
일
정기휴무 (매주 일요일)
월
09:30 - 18:30
화(6/6)
현충일 휴무
수
09:30 - 13:00
목
09:30 - 18:30",0507-1464-7504
닥터웰뷰티의원,피부과,"금
10:00 - 18:30
13:00 - 14:00 휴게시간
18:00 접수마감
토
10:00 - 15:00
14:30 접수마감
일
정기휴무 (매주 일요일)
월
10:00 - 18:30
13:00 - 14:00 휴게시간
18:00 접수마감
화(6/6)
현충일 휴무
수
10:00 - 18:30
13:00 - 14:00 휴게시간
18:00 접수마감
목
14:00 - 18:30
18:00 접수마감",051-646-7686
최신영내과의원,내과,"금
07:00 - 15:00
토
07:00 - 11:00
일
정기휴무 (매주 일요일)
월
07:00 - 15:00
화(6/6)
현충일 휴무
수
07:00 - 11:00
목
07:00 - 15:00",051-465-0882
윤이비인후과의원,이비인후과,"금
08:40 - 18:30
12:30 - 13:30 휴게시간
토
08:40 - 13:00
일
정기휴무 (매주 일요일)
월
08:40 - 18:30
12:30 - 13:30 휴게시간
화(6/6)
현충일08:40 - 13:00
수
08:40 - 18:30
12:30 - 13:30 휴게시간
목
08:40 - 18:30
12:30 - 13:30 휴게시간
접기",051-462-1188
이진치과의원,치과,"금
09:00 - 18:00
13:00 - 14:00 휴게시간
17:00 접수마감
토
09:00 - 14:00
13:00 접수마감
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
13:00 - 14:00 휴게시간
17:00 접수마감
화(6/6)
현충일 휴무
수
09:00 - 18:00
13:00 - 14:00 휴게시간
17:00 접수마감
목
09:00 - 18:00
13:00 - 14:00 휴게시간
17:00 접수마감",051-711-7874
온플란트치과의원,치과,"금
09:30 - 19:00
13:00 - 14:30 휴게시간
토(6/3)
휴무
일
정기휴무 (매주 일요일)
월
09:30 - 21:00
13:00 - 14:30 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 19:00
13:00 - 14:30 휴게시간
목
14:30 - 21:00",051-710-2888
범일연세내과의원,내과,"금
06:00 - 23:00
토
06:00 - 12:00
일
정기휴무 (매주 일요일)
월
06:00 - 23:00
화
06:00 - 12:00
수
06:00 - 23:00
목
06:00 - 12:00",0507-1316-6070
양영란내과,내과,"금
09:00 - 17:30
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 17:30
화(6/6)
현충일 휴무
수
09:00 - 15:00
목
09:00 - 17:30",051-462-6071
류마부산김승영내과의원,내과,"금
09:00 - 18:00
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
화(6/6)
현충일 휴무
수
09:00 - 18:00
목
09:00 - 18:00",0507-1400-2227
새부산병원,정형외과,"금
09:00 - 18:00
12:30 - 13:30 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:30 - 13:30 휴게시간
화(6/6)
현충일09:00 - 13:00
수
09:00 - 18:00
12:30 - 13:30 휴게시간
목
09:00 - 18:00
12:30 - 13:30 휴게시간
접기",051-711-1000
행복이비인후과의원,이비인후과,"금
09:00 - 18:00
12:30 - 14:00 휴게시간
17:40 접수마감
토
09:00 - 13:00
12:40 접수마감
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:30 - 14:00 휴게시간
17:40 접수마감
화(6/6)
현충일 휴무
수
09:00 - 18:00
12:30 - 14:00 휴게시간
17:40 접수마감
목
09:00 - 18:00
12:30 - 14:00 휴게시간
17:40 접수마감",0507-1496-7588
박이비인후과의원,이비인후과,"금
09:00 - 17:40
12:40 - 14:00 휴게시간
토
09:00 - 12:30
일
정기휴무 (매주 일요일)
월
09:00 - 17:40
12:40 - 14:00 휴게시간
화
09:00 - 17:40
12:40 - 14:00 휴게시간
수
09:00 - 17:40
12:40 - 14:00 휴게시간
목
09:00 - 17:40
12:40 - 14:00 휴게시간
접기",051-463-7582
좌천의원,"병원,의원","금
09:00 - 18:00
12:30 - 13:30 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:30 - 13:30 휴게시간
화
09:00 - 18:00
12:30 - 13:30 휴게시간
수
09:00 - 18:00
12:30 - 13:30 휴게시간
목
09:00 - 18:00
12:30 - 13:30 휴게시간",051-632-8651
연세정형외과,정형외과,"금
09:30 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감
토
09:30 - 14:30
14:00 접수마감
일
정기휴무 (매주 일요일)
월
09:30 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감
화(6/6)
현충일 휴무
수
09:30 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감
목
09:30 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감",051-463-3322
365일건강의원,"병원,의원","금
09:00 - 20:00
13:00 - 14:00 휴게시간
토
09:00 - 17:00
일
정기휴무 (매주 일요일)
월
09:00 - 20:00
13:00 - 14:00 휴게시간
화(6/6)
현충일09:00 - 17:00
수
09:00 - 20:00
13:00 - 14:00 휴게시간
목
09:00 - 20:00
13:00 - 14:00 휴게시간
접기",051-635-9918
보령이가정의원 부산,"병원,의원","금
08:30 - 18:00
12:00 - 13:00 휴게시간
토
08:30 - 14:00
12:00 - 13:00 휴게시간
일
정기휴무 (매주 일요일)
월
08:30 - 18:00
12:00 - 13:00 휴게시간
화(6/6)
현충일 휴무
수
정기휴무 (매주 수요일)
목
08:30 - 18:00
12:00 - 13:00 휴게시간",051-791-1777
신세계이비인후과,이비인후과,,051-634-0066
약손부부한의원,한의원,"금
09:00 - 19:00
13:00 - 14:00 휴게시간
토
09:00 - 15:00
일
정기휴무 (매주 일요일)
월
09:00 - 19:00
13:00 - 14:00 휴게시간
화(6/6)
현충일09:00 - 15:00
수
09:00 - 19:00
13:00 - 14:00 휴게시간
목
정기휴무 (매주 목요일)
접기",0507-1310-2002
부산김안과의원,안과,"금
09:00 - 17:00
12:00 - 13:45 휴게시간
토
09:00 - 12:00
일
정기휴무 (매주 일요일)
월
09:00 - 17:00
12:00 - 13:45 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 17:00
12:00 - 13:45 휴게시간
목
09:00 - 17:00
12:00 - 13:45 휴게시간",051-646-5654
인창요양병원장례식장,장례식장,,051-464-5858
더힐러스병원,정신건강의학과,"금
09:00 - 18:00
토
정보없음
일
정보없음
월
09:00 - 18:00
화
09:00 - 18:00
수
09:00 - 18:00
목
09:00 - 18:00
접기",051-715-1144
은정한의원,한의원,"금
09:00 - 19:00
12:30 - 13:50 휴게시간
토
08:30 - 14:00
일
정기휴무 (매주 일요일)
월
09:00 - 19:00
12:30 - 13:50 휴게시간
화(6/6)
현충일09:00 - 15:00
12:30 - 13:30 휴게시간
수
09:00 - 19:00
12:30 - 13:50 휴게시간
목
09:00 - 19:00",010-5096-8122
편작한의원,한의원,"금
09:00 - 18:30
13:00 - 14:00 휴게시간
토
09:00 - 17:00
13:00 - 14:00 휴게시간
일
09:00 - 15:00
월
09:00 - 18:30
13:00 - 14:00 휴게시간
화(6/6)
현충일09:00 - 17:00
13:00 - 14:00 휴게시간
수
09:00 - 18:30
13:00 - 14:00 휴게시간
목
09:00 - 18:30
13:00 - 14:00 휴게시간",051-465-2600
일신기독병원 응급실,응급실,"매일
00:00 - 24:00
접기",051-630-0415
초량한의원,한의원,"금
09:00 - 20:00
토
09:00 - 15:00
일
정기휴무 (매주 일요일)
월
09:00 - 20:00
화(6/6)
현충일09:00 - 15:00
수
09:00 - 20:00
목
정기휴무 (매주 목요일)
접기",0507-1438-1094
더편한치과의원,치과,"금
08:30 - 17:00
13:00 - 14:30 휴게시간
16:30 접수마감
토
08:30 - 13:00
12:30 접수마감
일
정기휴무 (매주 일요일)
월
08:30 - 17:00
13:00 - 14:30 휴게시간
16:30 접수마감
화(6/6)
현충일 휴무
수
08:30 - 13:00
12:30 접수마감
목
08:30 - 17:00
13:00 - 14:30 휴게시간
16:30 접수마감",0507-1320-7580
강남의원,피부과,"금
09:00 - 18:00
13:00 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:00
13:00 - 14:00 휴게시간
목
09:00 - 18:00
13:00 - 14:00 휴게시간",051-463-8007
수정치과의원,치과,"금
09:30 - 18:30
13:00 - 14:30 휴게시간
토
09:30 - 13:30
일
정기휴무 (매주 일요일)
월
09:30 - 18:30
13:00 - 14:30 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 18:30
13:00 - 14:30 휴게시간
목
09:30 - 18:30
13:00 - 14:30 휴게시간",051-462-5767
