이름,병원종류,영업시간,전화번호
장원석치과의원,치과,"목
09:30 - 18:30
13:00 - 14:30 휴게시간
금
09:30 - 18:30
13:00 - 14:30 휴게시간
토(6/3)
휴무
일
정기휴무 (매주 일요일)
월
09:30 - 18:30
13:00 - 14:30 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 18:30
13:00 - 14:30 휴게시간",051-612-0012
대연탑비뇨의학과의원,비뇨의학과,"목
09:00 - 19:00
13:00 - 14:00 휴게시간
금
09:00 - 19:00
13:00 - 14:00 휴게시간
토
09:00 - 14:00
일
정기휴무 (매주 일요일)
월
09:00 - 19:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 19:00
13:00 - 14:00 휴게시간",051-612-1141
부산고려병원,정형외과,"목
09:00 - 18:00
12:30 - 13:30 휴게시간
금
09:00 - 18:00
12:30 - 13:30 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:30 - 13:30 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:00
12:30 - 13:30 휴게시간",0507-1373-3005
신봉식이비인후과의원,이비인후과,"목
09:00 - 18:30
12:30 - 14:00 휴게시간
금
09:00 - 18:30
12:30 - 14:00 휴게시간
토
09:00 - 15:00
13:00 - 14:00 휴게시간
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
12:30 - 14:00 휴게시간
화(6/6)
현충일09:00 - 13:00
수
09:00 - 18:30
12:30 - 14:00 휴게시간",051-623-7337
바른이비인후과의원,이비인후과,"목
09:00 - 18:40
12:40 - 14:00 휴게시간
금
09:00 - 18:40
12:40 - 14:00 휴게시간
토
09:00 - 15:00
12:40 - 14:00 휴게시간
일
정기휴무 (매주 일요일)
월
09:00 - 18:40
12:40 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:40
12:40 - 14:00 휴게시간",0507-1400-8558
진내과의원,내과,"목
09:00 - 18:00
13:00 - 14:00 휴게시간
12:45, 17:45 접수마감
금
09:00 - 18:00
13:00 - 14:00 휴게시간
12:45, 17:45 접수마감
토
09:00 - 13:00
12:45 접수마감
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
13:00 - 14:00 휴게시간
12:45, 17:45 접수마감
화(6/6)
현충일 휴무
수
09:00 - 18:00
13:00 - 14:00 휴게시간
12:45, 17:45 접수마감",051-627-0360
다솜의원,내과,"목
10:00 - 20:30
13:00 - 14:30 휴게시간
금
10:00 - 20:30
13:00 - 14:30 휴게시간
토
10:00 - 20:30
13:00 - 14:30 휴게시간
일
10:00 - 20:30
13:00 - 14:30 휴게시간
월
10:00 - 20:30
13:00 - 14:30 휴게시간
화(6/6)
현충일10:00 - 20:30
수
10:00 - 20:30
13:00 - 14:30 휴게시간",051-637-7855
W365메디컬의원,이비인후과,"목
09:00 - 20:00
금
09:00 - 20:00
토
09:00 - 16:00
일
09:00 - 16:00
월
09:00 - 20:00
화(6/6)
현충일09:00 - 16:00
수
09:00 - 20:00
접기",0507-1395-0365
블리비의원 부산경성대점,피부과,"목
10:00 - 20:00
13:00 - 14:00 휴게시간
금
10:00 - 20:00
13:00 - 14:00 휴게시간
토
10:00 - 15:00
일
정기휴무 (매주 일요일)
월
10:00 - 20:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
10:00 - 20:00
13:00 - 14:00 휴게시간",1833-9179
남구보건소,보건소,"목
09:00 - 18:00
금
09:00 - 18:00
토
정보없음
일
정보없음
월
09:00 - 18:00
화(6/6)
현충일 휴무
수
09:00 - 18:00",051-607-6460
미래이비인후과의원,이비인후과,"목
09:00 - 18:00
12:15 - 14:00 휴게시간
금
09:00 - 18:00
12:15 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:15 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 12:10",051-623-7535
