이름,병원종류,영업시간,전화번호
굿윌치과병원,치과,"목
09:00 - 21:00
금
09:00 - 21:00
토
09:00 - 21:00
일
09:00 - 18:00
월
09:00 - 21:00
화(6/6)
현충일09:00 - 21:00
수
09:00 - 21:00
접기",051-330-6000
아름다운의원,피부과,"목
10:00 - 19:00
12:30 - 14:00 휴게시간
금
10:00 - 19:00
12:30 - 14:00 휴게시간
토
10:00 - 14:00
일
정기휴무 (매주 일요일)
월
10:00 - 19:00
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
14:00 - 19:00",0507-1393-0975
열린이비인후과의원,이비인후과,"목
09:00 - 18:30
13:00 - 14:00 휴게시간
금
09:00 - 18:30
13:00 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:30
13:00 - 14:00 휴게시간",051-334-8899
화명일신기독병원,"병원,의원","목
08:30 - 17:30
12:30 - 14:00 휴게시간
17:00 접수마감
금
08:30 - 17:30
12:30 - 14:00 휴게시간
17:00 접수마감
토
08:30 - 12:30
12:00 접수마감
일
정기휴무 (매주 일요일)
월
08:30 - 17:30
12:30 - 14:00 휴게시간
17:00 접수마감
화(6/6)
현충일 휴무
수
08:30 - 17:30
12:30 - 14:00 휴게시간
17:00 접수마감",051-363-0331
미래로병원,산부인과,,051-330-5000
삼성이비인후과의원,이비인후과,"목
14:00 - 18:30
금
09:00 - 18:30
13:00 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:30
13:00 - 14:00 휴게시간",0507-1422-7001
센텀이비인후과의원,이비인후과,"목
09:00 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감
금
09:00 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감
토
09:00 - 12:30
12:00 접수마감
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감
화(6/6)
현충일 휴무
수
09:00 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감",051-361-5358
동문소아청소년과의원,소아청소년과,"목
09:30 - 18:30
13:00 - 14:00 휴게시간
금
09:30 - 18:30
13:00 - 14:00 휴게시간
토
09:30 - 13:00
일
정기휴무 (매주 일요일)
월
09:30 - 18:30
13:00 - 14:00 휴게시간
화
09:30 - 18:30
13:00 - 14:00 휴게시간
수
14:00 - 18:30
접기",051-336-8282
올리브피부과의원,피부과,"목
09:30 - 19:00
13:00 - 14:00 휴게시간
금
09:30 - 19:00
13:00 - 14:00 휴게시간
토
09:30 - 14:30
일
정기휴무 (매주 일요일)
월
09:30 - 19:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 19:00
13:00 - 14:00 휴게시간",0507-1406-3344
부산북구보건소,보건소,"목
09:00 - 18:00
12:00 - 13:00 휴게시간
금
09:00 - 18:00
12:00 - 13:00 휴게시간
토
정기휴무 (매주 토요일)
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:00 - 13:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:00
12:00 - 13:00 휴게시간",051-309-4500
굿윌치과병원,치과,"목
09:00 - 21:00
금
09:00 - 21:00
토
09:00 - 21:00
일
09:00 - 18:00
월
09:00 - 21:00
화(6/6)
현충일09:00 - 21:00
수
09:00 - 21:00
접기",051-330-6000
바로그의원 덕천,피부과,"목
10:00 - 19:00
13:00 - 14:00 휴게시간
금
10:00 - 21:00
13:00 - 14:00 휴게시간
토
10:00 - 15:00
일
정기휴무 (매주 일요일)
월
10:00 - 19:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
10:00 - 19:00
13:00 - 14:00 휴게시간",051-343-2255
장윤석이비인후과의원,이비인후과,"목
09:00 - 19:00
12:30 - 14:00 휴게시간
금
09:00 - 19:00
12:30 - 14:00 휴게시간
토
09:00 - 14:00
12:30 - 14:00 휴게시간
일
정기휴무 (매주 일요일)
월
09:00 - 19:00
12:30 - 14:00 휴게시간
화(6/6)
현충일09:00 - 13:00
12:30 - 14:00 휴게시간
수
14:00 - 20:00
12:30 - 14:00 휴게시간",051-341-9525
화명성모안과의원,안과,"목
09:10 - 13:00
12:30 접수마감
금
09:10 - 19:00
13:00 - 14:00 휴게시간
18:30 접수마감
토
09:10 - 15:00
14:30 접수마감
일
정기휴무 (매주 일요일)
월
09:10 - 19:00
13:00 - 14:00 휴게시간
18:30 접수마감
화(6/6)
현충일 휴무
수
09:10 - 19:00
13:00 - 14:00 휴게시간
18:30 접수마감",051-365-0775
