이름,병원종류,영업시간,전화번호
토닥토닥한의원,한의원,"목
09:00 - 21:00
12:30 - 14:00 휴게시간
금
09:00 - 21:00
12:30 - 14:00 휴게시간
토
09:00 - 17:00
12:30 - 14:00 휴게시간
일
09:00 - 17:00
12:30 - 14:00 휴게시간
월
09:00 - 21:00
12:30 - 14:00 휴게시간
화(6/6)
현충일09:00 - 17:00
12:30 - 14:00 휴게시간
수
09:00 - 21:00
12:30 - 14:00 휴게시간",0507-1477-8234
신세계한방병원,한의원,"목
09:00 - 20:00
금
09:00 - 20:00
토
09:00 - 15:00
일
09:00 - 15:00
월
09:00 - 20:00
화(6/6)
현충일09:00 - 15:00
수
09:00 - 20:00",051-327-1199
엘리트치과병원,치과,"목
09:30 - 20:00
12:30 - 14:00 휴게시간
금
09:30 - 18:00
12:30 - 14:00 휴게시간
토
09:30 - 13:00
일
정기휴무 (매주 일요일)
월
09:30 - 20:00
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 20:00
12:30 - 14:00 휴게시간",051-322-2875
사상미사랑피부과의원,피부과,"목
10:00 - 18:30
13:00 - 14:00 휴게시간
금
10:00 - 18:30
13:00 - 14:00 휴게시간
토
10:00 - 14:00
일
정기휴무 (매주 일요일)
월
10:00 - 18:30
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
14:00 - 18:30",051-326-7582
의료법인 센텀의료재단 서부산센텀병원,정형외과,"목
09:00 - 17:30
12:30 - 13:30 휴게시간
12:00, 17:00 접수마감
금
09:00 - 17:30
12:30 - 13:30 휴게시간
12:00, 17:00 접수마감
토
09:00 - 13:00
12:30 접수마감
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:30 - 13:30 휴게시간
12:00, 17:30 접수마감
화(6/6)
현충일 휴무
수
09:00 - 17:30
12:30 - 13:30 휴게시간
12:00, 17:00 접수마감",1644-5530
더조은이비인후과의원,이비인후과,"목
09:00 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감
금
09:00 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감
토
09:00 - 13:00
12:50 접수마감
일
정기휴무 (매주 일요일)
월
09:00 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감
화(6/6)
현충일 휴무
수
09:00 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감",051-311-7528
사상구보건소,보건소,"목
09:00 - 18:00
12:00 - 13:00 휴게시간
금
09:00 - 18:00
12:00 - 13:00 휴게시간
토
정기휴무 (매주 토요일)
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:00 - 13:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:00
12:00 - 13:00 휴게시간",051-310-4791
선샤인피부과의원,피부과,"목
09:30 - 19:00
13:00 - 14:30 휴게시간
금
09:30 - 20:00
13:00 - 14:30 휴게시간
토
09:30 - 14:00
일
정기휴무 (매주 일요일)
월
09:30 - 20:00
13:00 - 14:30 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 19:00
13:00 - 14:30 휴게시간",0507-1495-3210
삼성본정형외과의원,정형외과,"목
09:00 - 18:30
12:30 - 14:00 휴게시간
금
09:00 - 18:30
12:30 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
12:30 - 14:00 휴게시간
화
09:00 - 18:30
12:30 - 14:00 휴게시간
수
09:00 - 18:30
12:30 - 14:00 휴게시간",051-711-0280
마린플란트치과의원,치과,"목
09:30 - 19:00
12:30 - 14:00 휴게시간
금
09:30 - 19:00
12:30 - 14:00 휴게시간
토
09:30 - 14:00
일
09:30 - 14:00
월
09:30 - 19:00
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 20:00
12:30 - 14:00 휴게시간",051-322-3332
