이름,병원종류,영업시간,전화번호
청아인한의원,한의원,"목
09:00 - 18:00
12:30 - 14:00 휴게시간
금
09:00 - 18:00
12:30 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:00
12:30 - 14:00 휴게시간",051-469-8485
중앙나라요양병원,요양병원,"목
09:00 - 18:00
금
09:00 - 18:00
토
09:00 - 13:00
일
정보없음
월
09:00 - 18:00
화
09:00 - 18:00
수
09:00 - 18:00
접기",051-246-0505
굿힐링병원,재활의학과,"목
09:00 - 18:00
12:30 - 13:30 휴게시간
금
09:00 - 18:00
12:30 - 13:30 휴게시간
토
09:00 - 12:30
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:30 - 13:30 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:00
12:30 - 13:30 휴게시간",051-255-0200
흰치과의원,치과,"목
09:30 - 20:30
13:00 - 14:30 휴게시간
금
09:30 - 18:30
13:00 - 14:30 휴게시간
토
정기휴무 (매주 토요일)
일
정기휴무 (매주 일요일)
월
09:30 - 18:30
13:00 - 14:30 휴게시간
화(6/6)
현충일 휴무
수
14:30 - 20:30",051-466-5588
지창준내과의원,내과,"목
09:00 - 17:00
12:30 - 14:00 휴게시간
16:30 접수마감
금
09:00 - 17:00
12:30 - 14:00 휴게시간
16:30 접수마감
토
09:00 - 12:00
11:30 접수마감
일
정기휴무 (매주 일요일)
월
09:00 - 17:00
12:30 - 14:00 휴게시간
16:30 접수마감
화(6/6)
현충일 휴무
수
09:00 - 17:00
12:30 - 14:00 휴게시간
16:30 접수마감",051-245-1434
지창준내과의원,내과,,051-245-1434
화이트이치과의원 남포,치과,"목
10:00 - 21:00
13:00 - 14:00 휴게시간
17:30 - 18:00 휴게시간
20:00 접수마감
금
10:00 - 21:00
13:00 - 14:00 휴게시간
17:30 - 18:00 휴게시간
20:00 접수마감
토
10:00 - 14:00
13:00 접수마감
일
정기휴무 (매주 일요일)
월
10:00 - 19:00
13:00 - 14:00 휴게시간
18:00 접수마감
화(6/6)
현충일 휴무
수
10:00 - 19:00
13:00 - 14:00 휴게시간
18:00 접수마감",0507-1306-2870
공감정신건강의학과의원,정신건강의학과,"목
09:00 - 18:00
금
09:00 - 18:00
토
09:00 - 16:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:00",0507-1490-0069
김양희치과의원,치과,"목
정기휴무 (매주 목요일)
금
09:30 - 18:00
토
09:30 - 13:00
일
정기휴무 (매주 일요일)
월
09:30 - 18:00
화(6/6)
현충일 휴무
수
09:30 - 18:00",051-465-2875
신윤원내과의원,내과,"목
08:50 - 18:00
12:30 - 13:30 휴게시간
금
08:50 - 18:00
12:30 - 13:30 휴게시간
토
08:50 - 14:00
일
정기휴무 (매주 일요일)
월
08:50 - 18:00
12:30 - 13:30 휴게시간
화(6/6)
현충일 휴무
수
08:50 - 18:00
12:30 - 13:30 휴게시간",0507-1319-7025
빛으로의원,"병원,의원","목
08:30 - 18:30
금
08:30 - 18:30
토
08:30 - 12:30
일
정기휴무 (매주 일요일)
월
08:30 - 18:30
화(6/6)
현충일08:30 - 12:30
수
08:30 - 18:30
접기",051-253-7582
B&S의원,성형외과,"목
10:00 - 18:30
13:00 - 14:00 휴게시간
금
10:00 - 18:30
13:00 - 14:00 휴게시간
토
10:00 - 15:00
일
정기휴무 (매주 일요일)
월
10:00 - 18:30
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
10:00 - 18:30
13:00 - 14:00 휴게시간",051-248-5494
국민한의원프롤로의원,한의원,"목
09:30 - 18:30
13:00 - 14:00 휴게시간
금
09:30 - 18:30
13:00 - 14:00 휴게시간
토
09:30 - 13:30
일
정기휴무 (매주 일요일)
월
09:30 - 18:30
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 13:30",0507-1478-0223
경희미르애한의원,한의원,"목
09:00 - 19:00
13:00 - 14:00 휴게시간
금
09:00 - 20:30
13:00 - 14:00 휴게시간
토
09:00 - 15:00
일
정기휴무 (매주 일요일)
월
09:00 - 20:30
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 20:30
13:00 - 14:00 휴게시간",051-241-3721
