이름,병원종류,영업시간,전화번호
예담한의원,한의원,"금
10:00 - 20:00
13:00 - 14:00 휴게시간
12:30, 19:30 접수마감
토
10:00 - 17:00
13:00 - 14:00 휴게시간
12:30, 16:30 접수마감
일
10:00 - 17:00
13:00 - 14:00 휴게시간
12:30, 16:30 접수마감
월
10:00 - 20:00
13:00 - 14:00 휴게시간
12:30, 19:30 접수마감
화(6/6)
현충일10:00 - 17:00
13:00 - 14:00 휴게시간
수
10:00 - 20:00
13:00 - 14:00 휴게시간
12:30, 19:30 접수마감
목
10:00 - 20:00
13:00 - 14:00 휴게시간
12:30, 19:30 접수마감",051-403-4080
좋은부산요양병원,요양병원,"금
09:00 - 18:00
토
정보없음
일
정보없음
월
09:00 - 18:00
화
09:00 - 18:00
수
09:00 - 18:00
목
09:00 - 18:00
접기",051-326-0900
사상미사랑피부과의원,피부과,"금
10:00 - 18:30
13:00 - 14:00 휴게시간
토
10:00 - 14:00
일
정기휴무 (매주 일요일)
월
10:00 - 18:30
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
14:00 - 18:30
목
10:00 - 18:30
13:00 - 14:00 휴게시간",051-326-7582
엘리트치과병원,치과,"금
09:30 - 18:00
12:30 - 14:00 휴게시간
토
09:30 - 13:00
일
정기휴무 (매주 일요일)
월
09:30 - 20:00
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 20:00
12:30 - 14:00 휴게시간
목
09:30 - 20:00
12:30 - 14:00 휴게시간",051-322-2875
의료법인 센텀의료재단 서부산센텀병원,정형외과,"금
09:00 - 17:30
12:30 - 13:30 휴게시간
12:00, 17:00 접수마감
토
09:00 - 13:00
12:30 접수마감
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:30 - 13:30 휴게시간
12:00, 17:30 접수마감
화(6/6)
현충일 휴무
수
09:00 - 17:30
12:30 - 13:30 휴게시간
12:00, 17:00 접수마감
목
09:00 - 17:30
12:30 - 13:30 휴게시간
12:00, 17:00 접수마감",1644-5530
더조은이비인후과의원,이비인후과,"금
09:00 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감
토
09:00 - 13:00
12:50 접수마감
일
정기휴무 (매주 일요일)
월
09:00 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감
화(6/6)
현충일 휴무
수
09:00 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감
목
09:00 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감",051-311-7528
재원메디컬의원,"병원,의원","금
09:00 - 18:30
13:00 - 14:00 휴게시간
토
08:30 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:30
13:00 - 14:00 휴게시간
목
09:00 - 13:00",051-305-7588
백문기한의원,한의원,"금
10:00 - 18:00
12:50 - 14:00 휴게시간
토
10:00 - 17:00
12:50 - 14:00 휴게시간
일
정기휴무 (매주 일요일)
월
10:00 - 18:00
12:50 - 14:00 휴게시간
화(6/6)
현충일10:00 - 17:00
12:50 - 14:00 휴게시간
수
10:00 - 18:00
12:50 - 14:00 휴게시간
목
정기휴무 (매주 목요일)
접기",051-312-7648
하나의원,외과,"금
09:00 - 18:00
13:00 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:00
13:00 - 14:00 휴게시간
목
09:00 - 18:00
13:00 - 14:00 휴게시간",051-313-8760
한사랑가정의원,소아청소년과,"금
09:00 - 18:30
토
09:00 - 13:30
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
화(6/6)
현충일 휴무
수
09:00 - 18:30
목
09:00 - 18:30",051-317-9234
