이름,병원종류,영업시간,전화번호
청담진의원,피부과,"금
13:00 - 19:00
토
09:30 - 14:00
일
정기휴무 (매주 일요일)
월
10:00 - 20:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
10:00 - 20:00
13:00 - 14:00 휴게시간
목
10:00 - 19:00
13:00 - 14:00 휴게시간",051-715-2305
열린한의원 다대포,한의원,"금
09:00 - 19:00
토
09:00 - 14:00
일
정기휴무 (매주 일요일)
월
09:00 - 19:00
화(6/6)
현충일 휴무
수
09:00 - 19:00
목
14:00 - 20:00",051-265-1500
부산본병원,"병원,의원",,1599-8275
미래아이여성병원,산부인과,,051-200-9999
삼성내과엠알영상의학과의원,내과,"금
08:00 - 18:30
13:00 - 14:00 휴게시간
토
08:00 - 13:00
일
정기휴무 (매주 일요일)
월
08:00 - 18:30
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
08:00 - 18:30
13:00 - 14:00 휴게시간
목
08:00 - 18:30
13:00 - 14:00 휴게시간",051-208-5566
큐병원,"병원,의원",,051-207-4343
윤종주정형외과 조현정내과의원,정형외과,,051-714-7105
비에스(BS)숨이비인후과의원,이비인후과,"금
09:00 - 21:00
13:00 - 14:00 휴게시간
토
09:00 - 17:00
일
09:00 - 13:00
월
09:00 - 21:00
13:00 - 14:00 휴게시간
화(6/6)
현충일09:00 - 13:00
수
09:00 - 21:00
13:00 - 14:00 휴게시간
목
09:00 - 21:00
13:00 - 14:00 휴게시간
접기",1544-3898
하나병원,"병원,의원","금
09:00 - 17:30
12:30 - 13:30 휴게시간
토
09:00 - 12:30
일
정기휴무 (매주 일요일)
월
09:00 - 17:30
12:30 - 13:30 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 17:30
12:30 - 13:30 휴게시간
목
09:00 - 17:00
12:30 - 13:30 휴게시간",051-266-2600
백천피부과의원,피부과,"금
09:30 - 18:30
12:30 - 14:00 휴게시간
토
09:30 - 14:40
일
정기휴무 (매주 일요일)
월
09:30 - 18:40
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 18:30
12:30 - 14:00 휴게시간
목
14:00 - 19:10",051-204-1204
굿윌치과병원,치과,"금
09:00 - 21:00
토
09:00 - 21:00
일
09:00 - 18:00
월
09:00 - 21:00
화(6/6)
현충일09:00 - 21:00
수
09:00 - 21:00
목
09:00 - 21:00
접기",0507-1440-6000
박성욱피부과의원,피부과,"금
09:30 - 18:30
12:30 - 14:00 휴게시간
토
09:30 - 13:30
일
정기휴무 (매주 일요일)
월
09:30 - 18:30
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 19:00
12:30 - 14:00 휴게시간
목
09:30 - 13:30",051-204-8275
강동병원,정형외과,"금
09:00 - 18:00
13:00 - 14:00 휴게시간
토
09:00 - 13:00
일
09:00 - 22:00
월
09:00 - 18:00
13:00 - 14:00 휴게시간
화(6/6)
현충일09:00 - 22:00
수
09:00 - 18:00
13:00 - 14:00 휴게시간
목
09:00 - 18:00
13:00 - 14:00 휴게시간
접기",051-209-1100
사하구보건소,보건소,"금
09:00 - 18:00
12:00 - 13:00 휴게시간
토
정보없음
일
정보없음
월
09:00 - 18:00
12:00 - 13:00 휴게시간
화
09:00 - 18:00
12:00 - 13:00 휴게시간
수
09:00 - 18:00
12:00 - 13:00 휴게시간
목
09:00 - 18:00
12:00 - 13:00 휴게시간
접기",051-220-5701
바로그의원 하단,피부과,"금
10:00 - 21:00
13:00 - 14:00 휴게시간
19:30 접수마감
토
10:00 - 14:00
12:30 접수마감
일
정기휴무 (매주 일요일)
월
10:00 - 19:00
13:00 - 14:00 휴게시간
17:30 접수마감
화(6/6)
현충일 휴무
수
10:00 - 19:00
13:00 - 14:00 휴게시간
17:30 접수마감
목
10:00 - 19:00
13:00 - 14:00 휴게시간
17:30 접수마감",051-202-8272
부산더키즈병원,소아청소년과,"금
09:00 - 19:00
12:30 - 14:00 휴게시간
토
09:00 - 13:00
일
09:00 - 13:00
월
09:00 - 19:00
12:30 - 14:00 휴게시간
화(6/6)
현충일09:00 - 13:00
수
09:00 - 19:00
12:30 - 14:00 휴게시간
목
09:00 - 19:00
12:30 - 14:00 휴게시간",0507-1454-6003
프라임병원,"병원,의원","금
09:00 - 18:00
12:30 - 13:30 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:30 - 13:30 휴게시간
화
09:00 - 18:00
12:30 - 13:30 휴게시간
수
09:00 - 18:00
12:30 - 13:30 휴게시간
목
09:00 - 18:00
12:30 - 13:30 휴게시간",0507-1429-7833
the속시원내과의원,내과,,051-265-2468
킴스뷰티의원,피부과,"금
10:00 - 19:00
14:00 - 15:00 휴게시간
토
10:00 - 16:00
일
정기휴무 (매주 일요일)
월
10:00 - 19:00
14:00 - 15:00 휴게시간
화(6/6)
현충일 휴무
수
10:00 - 19:00
14:00 - 15:00 휴게시간
목
10:00 - 22:00
14:00 - 15:00 휴게시간",051-205-9777
아름다운피부과의원,피부과,"금
10:00 - 19:30
12:30 - 14:00 휴게시간
토
09:30 - 14:00
일
정기휴무 (매주 일요일)
월
09:30 - 18:30
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 18:30
12:30 - 14:00 휴게시간
목
09:30 - 18:30
12:30 - 14:00 휴게시간",051-204-8114
경희병원,"병원,의원","금
09:00 - 18:00
13:00 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:00
13:00 - 14:00 휴게시간
목
09:00 - 18:00
13:00 - 14:00 휴게시간",051-265-7575
김은영내과의원,내과,"금
08:30 - 18:30
12:30 - 14:00 휴게시간
토
08:30 - 14:00
일
정기휴무 (매주 일요일)
월
08:30 - 18:30
12:30 - 14:00 휴게시간
화(6/6)
08:30 - 13:00
수
08:30 - 18:30
12:30 - 14:00 휴게시간
목
08:30 - 18:30
12:30 - 14:00 휴게시간
접기",051-202-7722
압구정날씬의원,성형외과,"금
10:00 - 18:00
12:30 - 13:30 휴게시간
17:30 접수마감
토
10:00 - 14:00
13:30 접수마감
일
정기휴무 (매주 일요일)
월
10:00 - 20:00
12:30 - 13:30 휴게시간
19:30 접수마감
화(6/6)
현충일 휴무
수
10:00 - 18:00
12:30 - 13:30 휴게시간
17:30 접수마감
목
15:00 - 20:00
19:30 접수마감",051-202-0075
의료법인 굿타임의료재단 타임요양병원,요양병원,"금
08:00 - 18:00
토
정보없음
일
정보없음
월
08:00 - 18:00
화
08:00 - 18:00
수
08:00 - 18:00
목
08:00 - 18:00",0507-1376-2231
부산내과의원,내과,"금
08:50 - 18:20
13:00 - 14:00 휴게시간
18:00 접수마감
토
08:50 - 15:20
13:00 - 13:40 휴게시간
15:00 접수마감
일
정기휴무 (매주 일요일)
월
08:50 - 18:20
13:00 - 14:00 휴게시간
18:00 접수마감
화(6/6)
현충일08:50 - 13:00
수
08:50 - 18:20
13:00 - 14:00 휴게시간
18:00 접수마감
목
08:50 - 18:20
13:00 - 14:00 휴게시간
18:00 접수마감",051-291-9550
