이름,병원종류,영업시간,전화번호
바른병원,정형외과,"금
09:00 - 20:00
12:30 - 13:30 휴게시간
19:30 접수마감
토
09:00 - 15:00
14:30 접수마감
일
정기휴무 (매주 일요일)
월
09:00 - 20:00
12:30 - 13:30 휴게시간
19:30 접수마감
화
09:00 - 20:00
12:30 - 13:30 휴게시간
19:30 접수마감
수
09:00 - 20:00
12:30 - 13:30 휴게시간
19:30 접수마감
목
09:00 - 20:00
12:30 - 13:30 휴게시간
19:30 접수마감",051-247-0119
김용기내과의원,내과,"금
09:00 - 17:30
토
09:00 - 12:30
일
정기휴무 (매주 일요일)
월
09:00 - 17:30
화(6/6)
현충일 휴무
수
09:00 - 17:30
목
09:00 - 17:30",051-245-7100
삼육부산병원,종합병원,"금
08:30 - 12:30
토
정기휴무 (매주 토요일)
일
08:30 - 17:30
12:30 - 13:30 휴게시간
월
08:30 - 17:30
12:30 - 13:30 휴게시간
화(6/6)
현충일 휴무
수
08:30 - 17:30
12:30 - 13:30 휴게시간
목
08:30 - 17:30
12:30 - 13:30 휴게시간",1566-3675
구세산부인과의원,산부인과,"금
09:00 - 19:00
13:00 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 19:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 19:00
13:00 - 14:00 휴게시간
목
09:00 - 19:00
13:00 - 14:00 휴게시간",051-253-5555
김용기내과의원,내과,"금
09:00 - 17:30
토
09:00 - 12:30
일
정기휴무 (매주 일요일)
월
09:00 - 17:30
화(6/6)
현충일 휴무
수
09:00 - 17:30
목
09:00 - 17:30",051-245-7100
킴스피부과의원 대신,피부과,"금
09:30 - 18:00
12:30 - 14:00 휴게시간
17:20 접수마감
토
09:30 - 12:30
11:50 접수마감
일
정기휴무 (매주 일요일)
월
09:30 - 19:00
12:30 - 14:00 휴게시간
18:20 접수마감
화(6/6)
현충일 휴무
수
09:30 - 18:00
12:30 - 14:00 휴게시간
17:20 접수마감
목
09:30 - 18:00
12:30 - 14:00 휴게시간
17:20 접수마감",051-246-9999
바른병원,정형외과,"금
09:00 - 20:00
12:30 - 13:30 휴게시간
19:30 접수마감
토
09:00 - 15:00
14:30 접수마감
일
정기휴무 (매주 일요일)
월
09:00 - 20:00
12:30 - 13:30 휴게시간
19:30 접수마감
화
09:00 - 20:00
12:30 - 13:30 휴게시간
19:30 접수마감
수
09:00 - 20:00
12:30 - 13:30 휴게시간
19:30 접수마감
목
09:00 - 20:00
12:30 - 13:30 휴게시간
19:30 접수마감",051-247-0119
속튼튼원내과의원,내과,"금
09:00 - 18:00
13:00 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
13:00 - 14:00 휴게시간
화
09:00 - 18:00
13:00 - 14:00 휴게시간
수
09:00 - 18:00
13:00 - 14:00 휴게시간
목
09:00 - 18:00
13:00 - 14:00 휴게시간
접기",051-243-7516
부산대학교병원,종합병원,"금
09:00 - 17:30
토
정기휴무 (매주 토요일)
일
정기휴무 (매주 일요일)
월
09:00 - 17:30
화(6/6)
현충일 휴무
수
09:00 - 17:30
목
09:00 - 17:30",051-240-7000
서구보건소,보건소,"금
09:00 - 18:00
12:00 - 13:00 휴게시간
토
정보없음
일
정보없음
월
09:00 - 18:00
12:00 - 13:00 휴게시간
화
09:00 - 18:00
12:00 - 13:00 휴게시간
수
09:00 - 18:00
12:00 - 13:00 휴게시간
목
09:00 - 18:00
12:00 - 13:00 휴게시간
접기",051-242-4000
동아대학교병원,종합병원,,051-240-2000
