이름,병원종류,영업시간,전화번호
오케이성형외과의원,성형외과,"금
10:00 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감
토
10:00 - 16:00
12:30 - 14:00 휴게시간
15:30 접수마감
일
정기휴무 (매주 일요일)
월
10:00 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감
화(6/6)
현충일 휴무
수
10:00 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감
목
10:00 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감",0507-1384-0091
메타한방병원,한방병원,,0507-1356-7571
제이린의원,피부과,"금
10:30 - 20:00
13:00 - 14:30 휴게시간
토
10:30 - 14:30
일
정기휴무 (매주 일요일)
월
10:30 - 20:00
13:00 - 14:30 휴게시간
화(6/6)
현충일 휴무
수
10:30 - 19:00
13:00 - 14:30 휴게시간
목
10:30 - 19:00
13:00 - 14:30 휴게시간",051-991-7575
로앤산부인과의원 부산,산부인과,"금
09:00 - 21:00
토
09:00 - 19:00
일
정기휴무 (매주 일요일)
월
09:00 - 21:00
화(6/6)
09:00 - 13:00
수
09:00 - 21:00
목
09:00 - 21:00
접기",051-804-3000
리노보의원 서면,피부과,"금
10:00 - 19:30
13:00 - 14:00 휴게시간
토
10:00 - 15:00
일
정기휴무 (매주 일요일)
월
10:00 - 19:30
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
14:00 - 19:30
목
10:00 - 19:30
13:00 - 14:00 휴게시간",0507-1414-7570
이루미치과의원 서면,치과,"금
10:00 - 19:00
13:00 - 14:30 휴게시간
18:30 접수마감
토
09:00 - 17:30
13:00 - 14:00 휴게시간
17:00 접수마감
일
정기휴무 (매주 일요일)
월
10:00 - 21:00
20:30 접수마감
화(6/6)
현충일 휴무
수
10:00 - 21:00
20:30 접수마감
목
정기휴무 (매주 목요일)",051-816-8980
톡스앤필의원 부산서면점,피부과,"금
10:30 - 19:00
13:00 - 14:00 휴게시간
11:30, 17:30 접수마감
토
10:30 - 17:00
13:00 - 14:00 휴게시간
11:30, 15:30 접수마감
일
정기휴무 (매주 일요일)
월
10:30 - 19:00
13:00 - 14:00 휴게시간
11:30, 17:30 접수마감
화(6/6)
현충일 휴무
수
10:30 - 19:00
13:00 - 14:00 휴게시간
11:30, 17:30 접수마감
목
10:30 - 19:00
13:00 - 14:00 휴게시간
11:30, 17:30 접수마감",0507-1305-4842
강내과의원,내과,"금
09:00 - 18:00
토
09:00 - 12:30
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
화(6/6)
현충일 휴무
수
09:00 - 17:00
목
09:00 - 18:00",051-817-2334
쉬즈라인의원 서면점,성형외과,"금
10:00 - 21:00
12:30 - 13:30 휴게시간
토
10:00 - 17:00
12:30 - 13:30 휴게시간
일
정기휴무 (매주 일요일)
월
10:00 - 19:00
12:30 - 13:30 휴게시간
화
10:00 - 19:00
12:30 - 13:30 휴게시간
수
10:00 - 20:00
12:30 - 13:30 휴게시간
목
10:00 - 21:00
12:30 - 13:30 휴게시간
접기",051-802-2255
류마이준희내과의원,내과,"금
09:00 - 18:00
13:00 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:00
13:00 - 14:00 휴게시간
목
09:00 - 18:00
13:00 - 14:00 휴게시간",051-715-8275
