이름,병원종류,영업시간,전화번호
디데이의원,피부과,"금
10:00 - 20:00
13:00 - 14:30 휴게시간
토
10:00 - 14:30
일
정기휴무 (매주 일요일)
월
10:00 - 20:00
13:00 - 14:30 휴게시간
화(6/6)
현충일 휴무
수
10:00 - 20:00
13:00 - 14:30 휴게시간
목
10:00 - 20:00
13:00 - 14:30 휴게시간",0507-1484-9112
본라인한의원 부산수영,한의원,"금
10:00 - 20:00
13:00 - 14:00 휴게시간
토
10:00 - 14:00
일
정기휴무 (매주 일요일)
월
10:00 - 20:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
10:00 - 20:00
13:00 - 14:00 휴게시간
목
14:00 - 20:00",051-714-1575
광안자모병원,산부인과,,051-760-0600
BHS한서병원,종합병원,"금
08:30 - 17:30
토
08:30 - 12:30
일
정보없음
월
08:30 - 17:30
화
08:30 - 17:30
수
08:30 - 17:30
목
08:30 - 17:30
접기",051-756-0081
한나병원,"병원,의원",,051-625-2300
의료법인 센텀의료재단 부산센텀병원,정형외과,"금
09:00 - 17:30
12:30 - 13:30 휴게시간
12:00, 17:00 접수마감
토
09:00 - 13:00
12:30 접수마감
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:30 - 13:30 휴게시간
12:00, 17:30 접수마감
화(6/6)
현충일 휴무
수
09:00 - 17:30
12:30 - 13:30 휴게시간
12:00, 17:00 접수마감
목
09:00 - 17:30
12:30 - 13:30 휴게시간
12:00, 17:00 접수마감",1644-5520
엘르산부인과의원,산부인과,,051-626-8090
김영훈이비인후과의원,이비인후과,"금
09:00 - 18:30
12:30 - 14:00 휴게시간
토
09:00 - 12:30
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:30
12:30 - 14:00 휴게시간
목
09:00 - 18:30
12:30 - 14:00 휴게시간",0507-1442-2211
수영구보건소,보건소,"금
09:00 - 18:00
토
정기휴무 (매주 토요일)
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
화(6/6)
현충일 휴무
수
09:00 - 18:00
목
09:00 - 18:00",051-752-4000
인구보건복지협회 부산지회 가족보건의원,산부인과,"금
09:00 - 17:30
12:30 - 13:30 휴게시간
17:00 접수마감
토
09:00 - 12:30
12:00 접수마감
일
정기휴무 (매주 일요일)
월
09:00 - 17:30
12:30 - 13:30 휴게시간
17:00 접수마감
화(6/6)
현충일 휴무
수
09:00 - 17:30
12:30 - 13:30 휴게시간
17:00 접수마감
목
09:00 - 17:30
12:30 - 13:30 휴게시간
17:00 접수마감",051-624-5581
