이름,병원종류,영업시간,전화번호
고운피부과의원,피부과,"금
09:30 - 20:00
12:30 - 14:00 휴게시간
토
09:30 - 15:00
일
정기휴무 (매주 일요일)
월
09:30 - 19:00
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 19:00
12:30 - 14:00 휴게시간
목
09:30 - 19:00
12:30 - 14:00 휴게시간",051-415-4001
장편한내과의원,내과,"금
09:00 - 18:00
13:00 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:00
13:00 - 14:00 휴게시간
목
09:00 - 18:00
13:00 - 14:00 휴게시간",051-404-1088
의료법인 행도의료재단 해동병원,종합병원,"금
08:30 - 17:00
12:30 - 13:30 휴게시간
토
08:30 - 12:30
일
정기휴무 (매주 일요일)
월
08:30 - 17:30
12:30 - 13:30 휴게시간
화(6/6)
현충일 휴무
수
08:30 - 17:00
12:30 - 13:30 휴게시간
목
08:30 - 17:00
12:30 - 13:30 휴게시간",051-410-6300
영도이비인후과의원,이비인후과,"금
09:00 - 18:00
12:30 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:00
12:30 - 14:00 휴게시간
목
09:00 - 18:00
12:30 - 14:00 휴게시간",051-416-9941
온마음한의원,한의원,"금
08:30 - 19:00
토
08:30 - 14:30
일
정기휴무 (매주 일요일)
월
08:30 - 20:00
화
08:30 - 20:00
수
08:30 - 19:00
목
08:30 - 20:00
접기",051-417-7588
미드림피부과의원,피부과,"금
09:30 - 18:30
12:30 - 14:00 휴게시간
토
09:30 - 14:00
일
정기휴무 (매주 일요일)
월
09:30 - 18:30
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 18:30
12:30 - 14:00 휴게시간
목
09:30 - 13:00",051-412-2375
수도의원,내과,"금
09:00 - 17:30
13:00 - 14:00 휴게시간
토
09:00 - 13:00
일(6/4)
정기휴무 (매달 1, 3, 5번째 일요일)
월
09:00 - 17:30
13:00 - 14:00 휴게시간
화
09:00 - 17:30
13:00 - 14:00 휴게시간
수
09:00 - 17:30
13:00 - 14:00 휴게시간
목
09:00 - 17:30
13:00 - 14:00 휴게시간",051-416-4031
삼성제일내과의원,내과,"금
08:30 - 18:30
12:30 - 13:30 휴게시간
토
08:30 - 13:00
일(6/4)
정기휴무 (매달 1, 2, 3, 5번째 일요일)
월
08:30 - 18:30
12:30 - 13:30 휴게시간
화(6/6)
현충일 휴무
수
08:30 - 18:30
12:30 - 13:30 휴게시간
목
08:30 - 18:30
12:30 - 13:30 휴게시간",051-975-1000
참좋은정형외과의원,정형외과,"금
08:30 - 19:00
토
08:30 - 14:00
일
정기휴무 (매주 일요일)
월
08:30 - 19:00
화(6/6)
현충일08:30 - 14:00
수
08:30 - 19:00
목
08:30 - 19:00",0507-1395-1742
i서울병원,내과,,0507-1494-8307
