병원이름,병원종류,전화번호,병원주소,월,화,수,목,금,토,일,영업시간,쉬는시간,접수마감
예담한의원,한의원,051-403-4080,부산 사상구 낙동대로 733 롯데마트 사상점 4층 예담한의원,"10:00 - 20:00
13:00 - 14:00 휴게시간
12:30, 19:30 접수마감",,"10:00 - 20:00
13:00 - 14:00 휴게시간
12:30, 19:30 접수마감","10:00 - 20:00
13:00 - 14:00 휴게시간
12:30, 19:30 접수마감","10:00 - 20:00
13:00 - 14:00 휴게시간
12:30, 19:30 접수마감","10:00 - 17:00
13:00 - 14:00 휴게시간
12:30, 16:30 접수마감","10:00 - 17:00
13:00 - 14:00 휴게시간
12:30, 16:30 접수마감",,,
좋은부산요양병원,요양병원,051-326-0900,부산 사상구 학감대로39번길 67,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,"09:00 - 18:00
접기",09:00 - 18:00,정보없음,정보없음,09:00 - 18:00,,
사상미사랑피부과의원,피부과,051-326-7582,부산 사상구 사상로 200,"10:00 - 18:30
13:00 - 14:00 휴게시간",,14:00 - 18:30,"10:00 - 18:30
13:00 - 14:00 휴게시간","10:00 - 18:30
13:00 - 14:00 휴게시간",10:00 - 14:00,정기휴무 (매주 일요일),,,
엘리트치과병원,치과,051-322-2875,부산 사상구 가야대로 276,"09:30 - 20:00
12:30 - 14:00 휴게시간",,"09:30 - 20:00
12:30 - 14:00 휴게시간","09:30 - 20:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
의료법인 센텀의료재단 서부산센텀병원,정형외과,1644-5530,부산 사상구 새벽로 226,"09:00 - 18:00
12:30 - 13:30 휴게시간
12:00, 17:30 접수마감",,"09:00 - 17:30
12:30 - 13:30 휴게시간
12:00, 17:00 접수마감","09:00 - 17:30
12:30 - 13:30 휴게시간
12:00, 17:00 접수마감","09:00 - 17:30
12:30 - 13:30 휴게시간
12:00, 17:00 접수마감","09:00 - 13:00
12:30 접수마감",정기휴무 (매주 일요일),,,
더조은이비인후과의원,이비인후과,051-311-7528,부산 사상구 사상로 200,"09:00 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감",,"09:00 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감","09:00 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감","09:00 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감","09:00 - 13:00
12:50 접수마감",정기휴무 (매주 일요일),,,
재원메디컬의원,"병원,의원",051-305-7588,부산 사상구 사상로 236,"09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 13:00,"09:00 - 18:30
13:00 - 14:00 휴게시간",08:30 - 13:00,정기휴무 (매주 일요일),,,
백문기한의원,한의원,051-312-7648,부산 사상구 광장로87번길 63,"10:00 - 18:00
12:50 - 14:00 휴게시간",,"10:00 - 18:00
12:50 - 14:00 휴게시간","정기휴무 (매주 목요일)
접기","10:00 - 18:00
12:50 - 14:00 휴게시간","10:00 - 17:00
12:50 - 14:00 휴게시간",정기휴무 (매주 일요일),,,
하나의원,외과,051-313-8760,부산 사상구 백양대로342번길 16,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
한사랑가정의원,소아청소년과,051-317-9234,부산 사상구 엄궁북로 24 한사랑가정의원,09:00 - 18:30,,09:00 - 18:30,09:00 - 18:30,09:00 - 18:30,09:00 - 13:30,정기휴무 (매주 일요일),,,
