병원종류,병원이름,전화번호,병원주소,월,화,수,목,금,토,일,영업시간,쉬는시간,접수마감,정기휴무
성형외과,오케이성형외과의원,0507-1384-0091,부산 부산진구 부전로66번길 42,"10:00 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감",,"10:00 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감","10:00 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감","10:00 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감","10:00 - 16:00
12:30 - 14:00 휴게시간
15:30 접수마감",정기휴무 (매주 일요일),"10:00 - 18:30

10:00 - 18:30
10:00 - 18:30
10:00 - 18:30
10:00 - 16:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,,매주 일요일
한방병원,메타한방병원,0507-1356-7571,부산 부산진구 중앙대로 653 DR에코시티 2~5층,,,,,,,,"





",,,
피부과,제이린의원,051-991-7575,부산 부산진구 중앙대로 672 삼정타워 4층,"10:30 - 20:00
13:00 - 14:30 휴게시간",,"10:30 - 19:00
13:00 - 14:30 휴게시간","10:30 - 19:00
13:00 - 14:30 휴게시간","10:30 - 20:00
13:00 - 14:30 휴게시간",10:30 - 14:30,정기휴무 (매주 일요일),"10:30 - 20:00

10:30 - 19:00
10:30 - 19:00
10:30 - 20:00
10:30 - 14:30
정기휴무 (매주 일요일)",13:00 - 14:30 ,,매주 일요일
산부인과,로앤산부인과의원 부산,051-804-3000,부산 부산진구 서면로 74 아이온시티빌딩 2층,09:00 - 21:00,,09:00 - 21:00,"09:00 - 21:00
접기",09:00 - 21:00,09:00 - 19:00,정기휴무 (매주 일요일),"09:00 - 21:00

09:00 - 21:00
09:00 - 21:00
09:00 - 21:00
09:00 - 19:00
정기휴무 (매주 일요일)",,,매주 일요일
피부과,리노보의원 서면,0507-1414-7570,부산 부산진구 서면로 25 삼한골든뷰 6층,"10:00 - 19:30
13:00 - 14:00 휴게시간",,14:00 - 19:30,"10:00 - 19:30
13:00 - 14:00 휴게시간","10:00 - 19:30
13:00 - 14:00 휴게시간",10:00 - 15:00,정기휴무 (매주 일요일),"10:00 - 19:30

14:00 - 19:30
10:00 - 19:30
10:00 - 19:30
10:00 - 15:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
치과,이루미치과의원 서면,051-816-8980,부산 부산진구 서전로 5 이루미 메디타워,"10:00 - 21:00
20:30 접수마감",,"10:00 - 21:00
20:30 접수마감",정기휴무 (매주 목요일),"10:00 - 19:00
13:00 - 14:30 휴게시간
18:30 접수마감","09:00 - 17:30
13:00 - 14:00 휴게시간
17:00 접수마감",정기휴무 (매주 일요일),"10:00 - 21:00

10:00 - 21:00
정기휴무 (매주 목요일)
10:00 - 19:00
09:00 - 17:30
정기휴무 (매주 일요일)",20:30 접수마감,20:30,매주 목요일
피부과,톡스앤필의원 부산서면점,0507-1305-4842,부산 부산진구 서면로 47 인창빌딩 6층 톡스앤필의원 부산서면,"10:30 - 19:00
13:00 - 14:00 휴게시간
11:30, 17:30 접수마감",,"10:30 - 19:00
13:00 - 14:00 휴게시간
11:30, 17:30 접수마감","10:30 - 19:00
13:00 - 14:00 휴게시간
11:30, 17:30 접수마감","10:30 - 19:00
13:00 - 14:00 휴게시간
11:30, 17:30 접수마감","10:30 - 17:00
13:00 - 14:00 휴게시간
11:30, 15:30 접수마감",정기휴무 (매주 일요일),"10:30 - 19:00

10:30 - 19:00
10:30 - 19:00
10:30 - 19:00
10:30 - 17:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
내과,강내과의원,051-817-2334,부산 부산진구 서면로 73,09:00 - 18:00,,09:00 - 17:00,09:00 - 18:00,09:00 - 18:00,09:00 - 12:30,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 17:00
09:00 - 18:00
09:00 - 18:00
09:00 - 12:30
정기휴무 (매주 일요일)",,,매주 일요일
성형외과,쉬즈라인의원 서면점,051-802-2255,부산 부산진구 서면로 74 아이온시티,"10:00 - 19:00
12:30 - 13:30 휴게시간","10:00 - 19:00
12:30 - 13:30 휴게시간","10:00 - 20:00
12:30 - 13:30 휴게시간","10:00 - 21:00
12:30 - 13:30 휴게시간
접기","10:00 - 21:00
12:30 - 13:30 휴게시간","10:00 - 17:00
12:30 - 13:30 휴게시간",정기휴무 (매주 일요일),"10:00 - 19:00
10:00 - 19:00
10:00 - 20:00
10:00 - 21:00
10:00 - 21:00
10:00 - 17:00
정기휴무 (매주 일요일)",12:30 - 13:30 ,,매주 일요일
내과,류마이준희내과의원,051-715-8275,부산 부산진구 가야대로 785,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
비뇨의학과,제우스남성의원,0507-1404-8575,부산 부산진구 서면문화로 10 영광도서건물 10층 제우스남성의원,09:30 - 18:00,,09:30 - 18:00,09:30 - 18:00,09:30 - 18:00,09:30 - 15:00,정기휴무 (매주 일요일),"09:30 - 18:00

09:30 - 18:00
09:30 - 18:00
09:30 - 18:00
09:30 - 15:00
정기휴무 (매주 일요일)",,,매주 일요일
이비인후과,박재영이비인후과의원,051-817-1500,부산 부산진구 서면로 74 아이온시티빌딩 18층,"09:30 - 18:00
12:30 - 14:00 휴게시간",,"09:30 - 20:00
12:30 - 14:00 휴게시간",09:30 - 12:30,"09:30 - 18:00
12:30 - 14:00 휴게시간",09:30 - 12:30,정기휴무 (매주 일요일),"09:30 - 18:00

09:30 - 20:00
09:30 - 12:30
09:30 - 18:00
09:30 - 12:30
정기휴무 (매주 일요일)",12:30 - 14:00 ,,매주 일요일
내과,서면필내과의원,051-809-3180,부산 부산진구 서면문화로 10 7층 서면필내과의원,"09:00 - 18:00
17:50 접수마감",,"09:00 - 18:00
17:50 접수마감","09:00 - 18:00
17:50 접수마감","09:00 - 18:00
17:50 접수마감","09:00 - 13:00
12:50 접수마감",정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",17:50 접수마감,17:50,매주 일요일
피부과,미앤아이의원 부산점,051-808-3188,부산 부산진구 중앙대로 707 문용빌딩 8층,14:00 - 19:00,,13:00 - 18:00,정기휴무 (매주 목요일),13:00 - 18:00,11:00 - 15:00,정기휴무 (매주 일요일),"14:00 - 19:00

13:00 - 18:00
정기휴무 (매주 목요일)
13:00 - 18:00
11:00 - 15:00
정기휴무 (매주 일요일)",,,매주 목요일
피부과,스타피부과의원,0507-1434-2300,부산 부산진구 서면로 74 아이온시티빌딩,"10:00 - 20:00
13:00 - 14:00 휴게시간",,"10:00 - 20:00
13:00 - 14:00 휴게시간","10:00 - 20:00
13:00 - 14:00 휴게시간","10:00 - 20:00
13:00 - 14:00 휴게시간",10:00 - 17:00,정기휴무 (매주 일요일),"10:00 - 20:00

10:00 - 20:00
10:00 - 20:00
10:00 - 20:00
10:00 - 17:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
피부과,헤라의원,0507-1426-6020,부산 부산진구 중앙대로 664 이랜드PEER서면 2층,"10:00 - 20:00
13:00 - 14:00 휴게시간",,"10:00 - 20:00
13:00 - 14:00 휴게시간","10:00 - 20:00
13:00 - 14:00 휴게시간","10:00 - 20:00
13:00 - 14:00 휴게시간",10:00 - 16:00,정기휴무 (매주 일요일),"10:00 - 20:00

10:00 - 20:00
10:00 - 20:00
10:00 - 20:00
10:00 - 16:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
산부인과,애플산부인과의원 부산서면,051-808-1123,부산 부산진구 서면로 62-1 12층,10:00 - 20:00,,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 16:00,정기휴무 (매주 일요일),"10:00 - 20:00

10:00 - 20:00
10:00 - 20:00
10:00 - 20:00
10:00 - 16:00
정기휴무 (매주 일요일)",,,매주 일요일
안과,밝은세상안과의원,0507-1429-1159,부산 부산진구 서면로 74,09:30 - 18:30,,정기휴무 (매주 수요일),09:30 - 18:30,09:30 - 18:30,"09:00 - 18:00
13:00 - 14:00 휴게시간",정기휴무 (매주 일요일),"09:30 - 18:30

정기휴무 (매주 수요일)
09:30 - 18:30
09:30 - 18:30
09:00 - 18:00
정기휴무 (매주 일요일)",,,매주 수요일
