병원종류,병원이름,전화번호,병원주소,월,화,수,목,금,토,일,영업시간,쉬는시간,접수마감,정기휴무
치과,메디스치과의원 경성대,0507-1315-7475,부산 남구 수영로 295 세웅빌딩 4층,,,"10:00 - 19:00
13:00 - 14:00 휴게시간","10:00 - 20:00
13:00 - 14:00 휴게시간","10:00 - 19:00
13:00 - 14:00 휴게시간",10:00 - 14:00,정기휴무 (매주 일요일),"

10:00 - 19:00
10:00 - 20:00
10:00 - 19:00
10:00 - 14:00
정기휴무 (매주 일요일)",,,매주 일요일
치과,바른얼굴덕치과의원,051-623-2080,부산 남구 수영로 261 제401동 208호~209호,"10:00 - 19:00
13:00 - 14:00 휴게시간",,10:00 - 14:00,"10:00 - 20:00
13:00 - 14:00 휴게시간","10:00 - 19:00
13:00 - 14:00 휴게시간",10:00 - 14:00,정기휴무 (매주 일요일),"10:00 - 19:00

10:00 - 14:00
10:00 - 20:00
10:00 - 19:00
10:00 - 14:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
정형외과,부산고려병원,0507-1373-3005,부산 남구 수영로 238 고려병원,"09:00 - 18:00
12:30 - 13:30 휴게시간",,"09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",12:30 - 13:30 ,,매주 일요일
피부과,블리비의원 부산경성대점,1833-9179,부산 남구 수영로 300 10층,"10:00 - 20:00
13:00 - 14:00 휴게시간",,"10:00 - 20:00
13:00 - 14:00 휴게시간","10:00 - 20:00
13:00 - 14:00 휴게시간","10:00 - 20:00
13:00 - 14:00 휴게시간",10:00 - 15:00,정기휴무 (매주 일요일),"10:00 - 20:00

10:00 - 20:00
10:00 - 20:00
10:00 - 20:00
10:00 - 15:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
이비인후과,미래이비인후과의원,051-623-7535,부산 남구 분포로 115 힐탑탑플레이스 A동 302호,"09:00 - 18:00
12:15 - 14:00 휴게시간",,09:00 - 12:10,"09:00 - 18:00
12:15 - 14:00 휴게시간","09:00 - 18:00
12:15 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 12:10
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",12:15 - 14:00 ,,매주 일요일
내과,다솜의원,051-637-7855,부산 남구 전포대로91번길 47 이마트 3층,"10:00 - 20:30
13:00 - 14:30 휴게시간",,"10:00 - 20:30
13:00 - 14:30 휴게시간","10:00 - 20:30
13:00 - 14:30 휴게시간","10:00 - 20:30
13:00 - 14:30 휴게시간","10:00 - 20:30
13:00 - 14:30 휴게시간","10:00 - 20:30
13:00 - 14:30 휴게시간","10:00 - 20:30

10:00 - 20:30
10:00 - 20:30
10:00 - 20:30
10:00 - 20:30
10:00 - 20:30",13:00 - 14:30 ,,
"병원,의원",부산성소병원,051-633-1123,부산 남구 수영로 175 SMG빌딩 부산성소병원,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,"09:00 - 18:00
접기",09:00 - 18:00,09:00 - 13:00,정보없음,"09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정보없음",,,
피부과,더퍼스트피부과의원,0507-1309-7099,부산 남구 수영로 299 루미너스타워 3층,"10:00 - 19:00
13:00 - 14:00 휴게시간",,"10:00 - 19:00
13:00 - 14:00 휴게시간","10:00 - 19:00
13:00 - 14:00 휴게시간","10:00 - 20:00
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),"10:00 - 19:00

10:00 - 19:00
10:00 - 19:00
10:00 - 20:00
09:00 - 14:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
피부과,아름다운피부과의원,051-863-0075,"부산 남구 분포로 115 A동 201-1호, 202호",10:00 - 18:30,,10:00 - 18:30,10:00 - 18:30,10:00 - 18:30,10:00 - 14:00,정기휴무 (매주 일요일),"10:00 - 18:30

10:00 - 18:30
10:00 - 18:30
10:00 - 18:30
10:00 - 14:00
정기휴무 (매주 일요일)",,,매주 일요일
이비인후과,신봉식이비인후과의원,051-623-7337,부산 남구 수영로 340 플러스빌딩 3층,"09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 15:00
13:00 - 14:00 휴게시간",정기휴무 (매주 일요일),"09:00 - 18:30

09:00 - 18:30
09:00 - 18:30
09:00 - 18:30
09:00 - 15:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,,매주 일요일
이비인후과,바른이비인후과의원,0507-1400-8558,부산 남구 수영로 323 태강프라자 6층,"09:00 - 18:40
12:40 - 14:00 휴게시간",,"09:00 - 18:40
12:40 - 14:00 휴게시간","09:00 - 18:40
12:40 - 14:00 휴게시간","09:00 - 18:40
12:40 - 14:00 휴게시간","09:00 - 15:00
12:40 - 14:00 휴게시간",정기휴무 (매주 일요일),"09:00 - 18:40

09:00 - 18:40
09:00 - 18:40
09:00 - 18:40
09:00 - 15:00
정기휴무 (매주 일요일)",12:40 - 14:00 ,,매주 일요일
이비인후과,W365메디컬의원,0507-1395-0365,부산 남구 분포로 145,09:00 - 20:00,,09:00 - 20:00,"09:00 - 20:00
접기",09:00 - 20:00,09:00 - 16:00,09:00 - 16:00,"09:00 - 20:00

09:00 - 20:00
09:00 - 20:00
09:00 - 20:00
09:00 - 16:00
09:00 - 16:00",,,
