병원이름,병원종류,전화번호,병원주소,월,화,수,목,금,토,일,영업시간,쉬는시간,접수마감
서울리더스정형외과의원,정형외과,0507-1463-7591,부산 동래구 사직북로 7 5층,"09:00 - 20:00
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 20:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
이승희디지털치과의원,치과,051-554-2221,부산 동래구 금강공원로 11 온천메디플러스 2층,"09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
동래구보건소,보건소,051-555-4000,부산 동래구 명륜로187번길 56,,,,,,,,,,
대동병원,종합병원,051-554-1233,부산 동래구 충렬대로 187 대동병원,,,,,,,,,,
속편한내과의원,내과,051-554-1088,부산 동래구 충렬대로155번길 19,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 13:00,정기휴무 (매주 일요일),,,
사직부산아동병원,소아청소년과,051-503-0075,부산 동래구 아시아드대로 186,"09:30 - 20:00
13:00 - 14:00 휴게시간",,"09:30 - 20:00
13:00 - 14:00 휴게시간","09:30 - 20:00
13:00 - 14:00 휴게시간","09:30 - 20:00
13:00 - 14:00 휴게시간",09:30 - 13:00,09:30 - 13:00,,,
동래봉생병원,종합병원,051-520-5500,부산 동래구 안연로109번길 27 동래봉생병원,"09:00 - 17:30
12:30 - 13:30 휴게시간",,"09:00 - 17:00
12:30 - 13:30 휴게시간","09:00 - 17:00
12:30 - 13:30 휴게시간","09:00 - 17:00
12:30 - 13:30 휴게시간",09:00 - 12:30,정기휴무 (매주 일요일),,,
광혜병원,종합병원,051-503-2111,부산 동래구 충렬대로 96,09:00 - 17:30,,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 12:30,정기휴무 (매주 일요일),,,
고든정형외과의원,정형외과,0507-1352-8884,부산 동래구 사직북로 24 고든정형외과의원8층,"09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 20:00
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 13:30,정기휴무 (매주 일요일),,,
심재현이비인후과의원,이비인후과,051-555-8090,부산 동래구 중앙대로 1325,"09:30 - 18:30
13:00 - 14:00 휴게시간",,"09:30 - 18:30
13:00 - 14:00 휴게시간",14:00 - 18:30,"09:30 - 18:30
13:00 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
