수,목,토(6/3),금,월,병원이름,병원주소,화,화(6/6),토,일,매일,수(6/7),월(6/5),병원종류,전화번호
"10:00 - 20:00
13:00 - 14:00 휴게시간
12:30, 19:30 접수마감","10:00 - 20:00
13:00 - 14:00 휴게시간
12:30, 19:30 접수마감",,"10:00 - 20:00
13:00 - 14:00 휴게시간
12:30, 19:30 접수마감","10:00 - 20:00
13:00 - 14:00 휴게시간
12:30, 19:30 접수마감",예담한의원,부산 사상구 낙동대로 733 롯데마트 사상점 4층 예담한의원,,"현충일10:00 - 17:00
13:00 - 14:00 휴게시간","10:00 - 17:00
13:00 - 14:00 휴게시간
12:30, 16:30 접수마감","10:00 - 17:00
13:00 - 14:00 휴게시간
12:30, 16:30 접수마감",,,,한의원,051-403-4080
09:00 - 18:00,"09:00 - 18:00
접기",,09:00 - 18:00,09:00 - 18:00,좋은부산요양병원,부산 사상구 학감대로39번길 67,09:00 - 18:00,,정보없음,정보없음,,,,요양병원,051-326-0900
14:00 - 18:30,"10:00 - 18:30
13:00 - 14:00 휴게시간",,"10:00 - 18:30
13:00 - 14:00 휴게시간","10:00 - 18:30
13:00 - 14:00 휴게시간",사상미사랑피부과의원,부산 사상구 사상로 200,,현충일 휴무,10:00 - 14:00,정기휴무 (매주 일요일),,,,피부과,051-326-7582
"09:30 - 20:00
12:30 - 14:00 휴게시간","09:30 - 20:00
12:30 - 14:00 휴게시간",,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 20:00
12:30 - 14:00 휴게시간",엘리트치과병원,부산 사상구 가야대로 276,,현충일 휴무,09:30 - 13:00,정기휴무 (매주 일요일),,,,치과,051-322-2875
"09:00 - 17:30
12:30 - 13:30 휴게시간
12:00, 17:00 접수마감","09:00 - 17:30
12:30 - 13:30 휴게시간
12:00, 17:00 접수마감",,"09:00 - 17:30
12:30 - 13:30 휴게시간
12:00, 17:00 접수마감","09:00 - 18:00
12:30 - 13:30 휴게시간
12:00, 17:30 접수마감",의료법인 센텀의료재단 서부산센텀병원,부산 사상구 새벽로 226,,현충일 휴무,"09:00 - 13:00
12:30 접수마감",정기휴무 (매주 일요일),,,,정형외과,1644-5530
"09:00 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감","09:00 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감",,"09:00 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감","09:00 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감",더조은이비인후과의원,부산 사상구 사상로 200,,현충일 휴무,"09:00 - 13:00
12:50 접수마감",정기휴무 (매주 일요일),,,,이비인후과,051-311-7528
"09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 13:00,,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",재원메디컬의원,부산 사상구 사상로 236,,현충일 휴무,08:30 - 13:00,정기휴무 (매주 일요일),,,,"병원,의원",051-305-7588
"10:00 - 18:00
12:50 - 14:00 휴게시간","정기휴무 (매주 목요일)
접기",,"10:00 - 18:00
12:50 - 14:00 휴게시간","10:00 - 18:00
12:50 - 14:00 휴게시간",백문기한의원,부산 사상구 광장로87번길 63,,"현충일10:00 - 17:00
12:50 - 14:00 휴게시간","10:00 - 17:00
12:50 - 14:00 휴게시간",정기휴무 (매주 일요일),,,,한의원,051-312-7648
"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",하나의원,부산 사상구 백양대로342번길 16,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,외과,051-313-8760
09:00 - 18:30,09:00 - 18:30,,09:00 - 18:30,09:00 - 18:30,한사랑가정의원,부산 사상구 엄궁북로 24 한사랑가정의원,,현충일 휴무,09:00 - 13:30,정기휴무 (매주 일요일),,,,소아청소년과,051-317-9234
