병원종류,병원이름,전화번호,병원주소,월,화,수,목,금,토,일,영업시간,쉬는시간,접수마감,정기휴무
피부과,디데이의원,0507-1484-9112,부산 수영구 광남로 211 1층,"10:00 - 20:00
13:00 - 14:30 휴게시간",,"10:00 - 20:00
13:00 - 14:30 휴게시간","10:00 - 20:00
13:00 - 14:30 휴게시간","10:00 - 20:00
13:00 - 14:30 휴게시간",10:00 - 14:30,정기휴무 (매주 일요일),"10:00 - 20:00

10:00 - 20:00
10:00 - 20:00
10:00 - 20:00
10:00 - 14:30
정기휴무 (매주 일요일)",13:00 - 14:30 ,,매주 일요일
한의원,본라인한의원 부산수영,051-714-1575,부산 수영구 수영로705번길 1 2층,"10:00 - 20:00
13:00 - 14:00 휴게시간",,"10:00 - 20:00
13:00 - 14:00 휴게시간",14:00 - 20:00,"10:00 - 20:00
13:00 - 14:00 휴게시간",10:00 - 14:00,정기휴무 (매주 일요일),"10:00 - 20:00

10:00 - 20:00
14:00 - 20:00
10:00 - 20:00
10:00 - 14:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
산부인과,광안자모병원,051-760-0600,부산 수영구 수영로 555 광안자모병원,,,,,,,,"





",,,
종합병원,BHS한서병원,051-756-0081,부산 수영구 수영로 615,08:30 - 17:30,08:30 - 17:30,08:30 - 17:30,"08:30 - 17:30
접기",08:30 - 17:30,08:30 - 12:30,정보없음,"08:30 - 17:30
08:30 - 17:30
08:30 - 17:30
08:30 - 17:30
08:30 - 17:30
08:30 - 12:30
정보없음",,,
"병원,의원",한나병원,051-625-2300,부산 수영구 황령대로481번길 7 한나병원,,,,,,,,"





",,,
정형외과,의료법인 센텀의료재단 부산센텀병원,1644-5520,부산 수영구 수영로 677 부산센텀병원,"09:00 - 18:00
12:30 - 13:30 휴게시간
12:00, 17:30 접수마감",,"09:00 - 17:30
12:30 - 13:30 휴게시간
12:00, 17:00 접수마감","09:00 - 17:30
12:30 - 13:30 휴게시간
12:00, 17:00 접수마감","09:00 - 17:30
12:30 - 13:30 휴게시간
12:00, 17:00 접수마감","09:00 - 13:00
12:30 접수마감",정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 17:30
09:00 - 17:30
09:00 - 17:30
09:00 - 13:00
정기휴무 (매주 일요일)",12:30 - 13:30 ,12:30,매주 일요일
산부인과,엘르산부인과의원,051-626-8090,부산 수영구 수영로 379 스타메디칼 9층,,,,,,,,"





",,,
이비인후과,김영훈이비인후과의원,0507-1442-2211,부산 수영구 수영로 611,"09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 12:30,정기휴무 (매주 일요일),"09:00 - 18:30

09:00 - 18:30
09:00 - 18:30
09:00 - 18:30
09:00 - 12:30
정기휴무 (매주 일요일)",12:30 - 14:00 ,,매주 일요일
보건소,수영구보건소,051-752-4000,부산 수영구 수영로 637-5,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
정기휴무 (매주 토요일)
정기휴무 (매주 일요일)",,,매주 토요일
산부인과,인구보건복지협회 부산지회 가족보건의원,051-624-5581,부산 수영구 수영로 425 남천동 69-3번지,"09:00 - 17:30
12:30 - 13:30 휴게시간
17:00 접수마감",,"09:00 - 17:30
12:30 - 13:30 휴게시간
17:00 접수마감","09:00 - 17:30
12:30 - 13:30 휴게시간
17:00 접수마감","09:00 - 17:30
12:30 - 13:30 휴게시간
17:00 접수마감","09:00 - 12:30
12:00 접수마감",정기휴무 (매주 일요일),"09:00 - 17:30

09:00 - 17:30
09:00 - 17:30
09:00 - 17:30
09:00 - 12:30
정기휴무 (매주 일요일)",12:30 - 13:30 ,12:00,매주 일요일
이비인후과,우리이비인후과의원,0507-1326-8822,부산 수영구 수영로 581,"09:00 - 18:20
12:20 - 14:00 휴게시간","09:00 - 18:20
12:20 - 14:00 휴게시간","09:00 - 18:20
12:20 - 14:00 휴게시간","09:00 - 18:20
12:20 - 14:00 휴게시간","09:00 - 18:20
12:20 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:20
09:00 - 18:20
09:00 - 18:20
09:00 - 18:20
09:00 - 18:20
09:00 - 13:00
정기휴무 (매주 일요일)",12:20 - 14:00 ,,매주 일요일
"병원,의원",유맥외과의원,0507-1384-8280,부산 수영구 수영로 654 케이메디타워 5층,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,"09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 13:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
정형외과,신세계정형외과의원,051-917-7400,"부산 수영구 수영로 669 신세계정형외과의원 2,3층",08:30 - 19:00,,08:30 - 19:00,08:30 - 19:00,08:30 - 19:00,08:30 - 14:00,정기휴무 (매주 일요일),"08:30 - 19:00

08:30 - 19:00
08:30 - 19:00
08:30 - 19:00
08:30 - 14:00
정기휴무 (매주 일요일)",,,매주 일요일
요양병원,백세요양병원,0507-1433-9595,부산 수영구 광일로43번길 25,09:00 - 17:00,,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 17:00

09:00 - 17:00
09:00 - 17:00
09:00 - 17:00
09:00 - 13:00
정기휴무 (매주 일요일)",,,매주 일요일
이비인후과,장혁기이비인후과의원,051-628-6699,부산 수영구 수영로 386-1 원탄크리닉,"09:00 - 19:00
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 16:00,정기휴무 (매주 일요일),"09:00 - 19:00

09:00 - 19:00
09:00 - 19:00
09:00 - 19:00
09:00 - 16:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
이비인후과,코끼리이비인후과의원,0507-1417-7678,부산 수영구 수영로 710-1 프라임 메디컬빌딩 5층,"09:00 - 18:30
12:30 - 14:00 휴게시간",,09:00 - 12:30,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:30

09:00 - 12:30
09:00 - 18:30
09:00 - 18:30
09:00 - 13:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,,매주 일요일
안과,제안과의원,051-757-6500,부산 수영구 수영로 671,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
이비인후과,조이비인후과의원,051-758-3593,부산 수영구 수영로 511-1,"08:30 - 18:00
13:00 - 14:00 휴게시간",,"08:30 - 18:00
13:00 - 14:00 휴게시간","08:30 - 18:00
13:00 - 14:00 휴게시간","08:30 - 18:00
13:00 - 14:00 휴게시간",08:30 - 13:00,정기휴무 (매주 일요일),"08:30 - 18:00

08:30 - 18:00
08:30 - 18:00
08:30 - 18:00
08:30 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
정형외과,본정형외과의원,051-752-1700,부산 수영구 수영로725번길 4 본정형외과,,,,,,,,"





",,,
종합병원,좋은강안병원,051-625-0900,부산 수영구 수영로 493 의료법인은성의료재단좋은강안병원,"09:00 - 18:00
12:30 - 13:30 휴게시간",,"09:00 - 17:00
12:30 - 13:30 휴게시간","09:00 - 17:00
12:30 - 13:30 휴게시간","09:00 - 17:00
12:30 - 13:30 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 17:00
09:00 - 17:00
09:00 - 17:00
09:00 - 13:00
정기휴무 (매주 일요일)",12:30 - 13:30 ,,매주 일요일
피부과,큐비피부과의원,051-752-5575,부산 수영구 수영로 675 큐비메디컬센터 2층 201호,"09:30 - 20:00
13:00 - 14:00 휴게시간",,"09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 20:00
13:00 - 14:00 휴게시간",09:30 - 15:00,정기휴무 (매주 일요일),"09:30 - 20:00

09:30 - 19:00
09:30 - 19:00
09:30 - 20:00
09:30 - 15:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
내과,행복담은의원,051-623-9273,부산 수영구 황령대로 521 메가마트남천점 2층,"10:00 - 20:00
13:00 - 14:00 휴게시간",,"10:00 - 20:00
13:00 - 14:00 휴게시간","10:00 - 20:00
13:00 - 14:00 휴게시간","10:00 - 20:00
13:00 - 14:00 휴게시간","10:00 - 20:00
13:00 - 14:00 휴게시간","10:00 - 18:00
13:00 - 14:00 휴게시간","10:00 - 20:00

10:00 - 20:00
10:00 - 20:00
10:00 - 20:00
10:00 - 20:00
10:00 - 18:00",13:00 - 14:00 ,,
